Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,21,POR,NBA,SG,15.0,0.0,100.0,12.0,33.0,0.364,6.0,14.0,0.429,6.0,19.0,0.316,0.455,3.0,4.0,0.75,1.0,8.0,9.0,6.0,2.0,1.0,3.0,10.0,33.0,0.0,
2014-15,22,POR,NBA,SG,51.0,9.0,683.0,63.0,153.0,0.412,30.0,85.0,0.353,33.0,68.0,0.485,0.51,12.0,16.0,0.75,7.0,66.0,73.0,39.0,19.0,15.0,15.0,74.0,168.0,0.0,
2015-16,23,POR,NBA,SG,81.0,8.0,2105.0,311.0,678.0,0.459,112.0,285.0,0.393,199.0,393.0,0.506,0.541,98.0,113.0,0.867,27.0,189.0,216.0,99.0,63.0,16.0,64.0,192.0,832.0,0.0,6MOY-16
2016-17,24,POR,NBA,SG,79.0,7.0,2254.0,303.0,647.0,0.468,134.0,302.0,0.444,169.0,345.0,0.49,0.572,105.0,124.0,0.847,19.0,207.0,226.0,94.0,54.0,20.0,62.0,171.0,845.0,0.0,
2017-18,25,BRK,NBA,SG,75.0,68.0,2197.0,337.0,827.0,0.407,201.0,532.0,0.378,136.0,295.0,0.461,0.529,115.0,135.0,0.852,28.0,296.0,324.0,117.0,47.0,35.0,78.0,168.0,990.0,0.0,
2018-19,26,BRK,NBA,SG,43.0,20.0,1133.0,137.0,373.0,0.367,98.0,259.0,0.378,39.0,114.0,0.342,0.499,41.0,56.0,0.732,16.0,132.0,148.0,46.0,23.0,13.0,46.0,102.0,413.0,0.0,
2019-20,27,2TM,NBA,SG,37.0,1.0,653.0,63.0,177.0,0.356,36.0,119.0,0.303,27.0,58.0,0.466,0.458,10.0,14.0,0.714,11.0,66.0,77.0,33.0,15.0,4.0,17.0,47.0,172.0,0.0,
2019-20,27,ATL,NBA,SG,28.0,1.0,522.0,52.0,143.0,0.364,30.0,93.0,0.323,22.0,50.0,0.44,0.469,9.0,12.0,0.75,10.0,55.0,65.0,28.0,15.0,4.0,12.0,36.0,143.0,0.0,
2019-20,27,MIN,NBA,SF,9.0,0.0,131.0,11.0,34.0,0.324,6.0,26.0,0.231,5.0,8.0,0.625,0.412,1.0,2.0,0.5,1.0,11.0,12.0,5.0,0.0,0.0,5.0,11.0,29.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,381.0,113.0,9125.0,1226.0,2888.0,0.425,617.0,1596.0,0.387,609.0,1292.0,0.471,0.531,384.0,462.0,0.831,109.0,964.0,1073.0,434.0,223.0,104.0,285.0,764.0,3453.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,24.0,1964.0,264.0,622.0,0.425,133.0,343.0,0.387,131.0,278.0,0.471,0.531,83.0,99.0,0.831,23.0,207.0,231.0,93.0,48.0,22.0,61.0,164.0,743.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),,226.0,24.0,5142.0,689.0,1511.0,0.456,282.0,686.0,0.411,407.0,825.0,0.493,0.549,218.0,257.0,0.848,54.0,470.0,524.0,238.0,138.0,52.0,144.0,447.0,1878.0,0.0,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,118.0,88.0,3330.0,474.0,1200.0,0.395,299.0,791.0,0.378,175.0,409.0,0.428,0.52,156.0,191.0,0.817,44.0,428.0,472.0,163.0,70.0,48.0,124.0,270.0,1403.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,28.0,1.0,522.0,52.0,143.0,0.364,30.0,93.0,0.323,22.0,50.0,0.44,0.469,9.0,12.0,0.75,10.0,55.0,65.0,28.0,15.0,4.0,12.0,36.0,143.0,0.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,9.0,0.0,131.0,11.0,34.0,0.324,6.0,26.0,0.231,5.0,8.0,0.625,0.412,1.0,2.0,0.5,1.0,11.0,12.0,5.0,0.0,0.0,5.0,11.0,29.0,0.0,
