"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2014-15,23,BOS,NBA,C,4.0,0.0,53.0,0.538,0.571,0.5,0.654,0.5,0.648,0.154,0.462,120.0,118.0,143.0,132.0,67.0,121.0,56.0,172.0,
2015-16,24,BOS,NBA,C,4.0,0.0,32.0,0.111,0.167,0.0,0.111,,0.111,0.0,0.333,25.0,34.0,0.0,22.0,,21.0,0.0,117.0,
2016-17,25,BOS,NBA,C,18.0,2.0,346.0,0.512,0.628,0.319,0.572,0.733,0.597,0.24,0.376,112.0,125.0,89.0,111.0,95.0,108.0,89.0,119.0,
2017-18,26,MIA,NBA,PF,5.0,0.0,146.0,0.477,0.52,0.421,0.568,0.7,0.606,0.455,0.432,104.0,102.0,116.0,109.0,91.0,109.0,180.0,128.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,28,MIA,NBA,C,17.0,0.0,258.0,0.474,0.609,0.347,0.563,0.821,0.606,0.295,0.516,103.0,116.0,97.0,106.0,106.0,107.0,113.0,134.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,48.0,2.0,835.0,0.483,0.586,0.347,0.558,0.75,0.59,0.28,0.434,106.0,115.0,97.0,108.0,97.0,106.0,107.0,128.0,
,,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,26.0,2.0,431.0,0.49,0.593,0.321,0.551,0.719,0.574,0.218,0.381,108.0,118.0,90.0,108.0,93.0,104.0,80.0,124.0,
MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,22.0,0.0,404.0,0.475,0.577,0.368,0.565,0.771,0.606,0.345,0.489,103.0,111.0,102.0,107.0,100.0,108.0,135.0,132.0,
