Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2014-15,23,BOS,NBA,C,4.0,0.0,53.0,6.8,12.6,0.538,2.9,5.8,0.5,3.9,6.8,0.571,0.654,1.0,1.9,0.5,1.9,2.9,4.9,1.9,1.9,1.9,3.9,11.6,17.5,101.0,111.0,
2015-16,24,BOS,NBA,C,4.0,0.0,32.0,1.5,13.7,0.111,0.0,4.6,0.0,1.5,9.2,0.167,0.111,0.0,0.0,,3.1,3.1,6.1,4.6,1.5,0.0,6.1,7.6,3.1,36.0,104.0,
2016-17,25,BOS,NBA,C,18.0,2.0,346.0,9.5,18.5,0.512,2.2,6.9,0.319,7.2,11.5,0.628,0.572,3.3,4.4,0.733,2.1,6.4,8.4,5.0,1.9,2.1,3.3,6.9,24.4,111.0,113.0,
2017-18,26,MIA,NBA,PF,5.0,0.0,146.0,6.9,14.4,0.477,2.6,6.2,0.421,4.3,8.2,0.52,0.568,4.6,6.5,0.7,2.3,5.2,7.5,6.2,2.3,2.0,2.6,6.2,21.0,119.0,113.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,28,MIA,NBA,C,17.0,0.0,258.0,8.7,18.4,0.474,3.3,9.5,0.347,5.4,8.9,0.609,0.563,4.5,5.4,0.821,2.5,12.8,15.3,3.7,0.8,1.6,2.5,6.8,25.2,116.0,109.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,48.0,2.0,835.0,8.3,17.2,0.483,2.6,7.4,0.347,5.7,9.7,0.586,0.558,3.6,4.8,0.75,2.3,7.8,10.1,4.6,1.6,1.8,3.1,7.1,22.7,111.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,26.0,2.0,431.0,8.5,17.4,0.49,2.1,6.6,0.321,6.4,10.8,0.593,0.551,2.7,3.8,0.719,2.1,5.7,7.8,4.6,1.9,1.9,3.5,7.6,21.9,105.0,112.0,
MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,22.0,0.0,404.0,8.0,16.9,0.475,3.0,8.3,0.368,5.0,8.6,0.577,0.565,4.5,5.8,0.771,2.4,10.0,12.4,4.6,1.3,1.7,2.6,6.6,23.6,117.0,110.0,
