"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2014-15,21,MIL,NBA,PF,34.0,15.0,368.0,0.367,0.367,,0.367,0.444,0.379,0.225,0.0,82.0,76.0,,74.0,59.0,71.0,82.0,0.0,-31.0,-40.9,
2015-16,22,MIL,NBA,PF,66.0,4.0,857.0,0.411,0.409,1.0,0.414,0.675,0.441,0.191,0.005,91.0,83.0,283.0,82.0,89.0,82.0,69.0,2.0,-37.0,-45.3,
2016-17,23,2TM,NBA,PF,11.0,0.0,80.0,0.5,0.5,0.5,0.55,0.833,0.582,0.2,0.2,109.0,99.0,140.0,107.0,108.0,105.0,74.0,63.0,2.2,2.0,
2016-17,23,DEN,NBA,PF,7.0,0.0,46.0,0.467,0.417,0.667,0.533,1.0,0.597,0.267,0.2,102.0,83.0,186.0,104.0,130.0,108.0,99.0,63.0,0.6,1.5,
2016-17,23,CHO,NBA,PF,4.0,0.0,34.0,0.533,0.583,0.333,0.567,0.5,0.567,0.133,0.2,117.0,116.0,93.0,110.0,65.0,103.0,49.0,63.0,1.6,0.5,
2017-18,24,CHO,NBA,PF,36.0,0.0,379.0,0.398,0.422,0.326,0.439,0.84,0.47,0.146,0.251,86.0,83.0,90.0,84.0,110.0,84.0,58.0,75.0,-28.2,-31.4,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,147.0,19.0,1684.0,0.402,0.406,0.36,0.419,0.663,0.444,0.185,0.094,88.0,82.0,100.0,82.0,87.0,81.0,69.0,28.0,-94.0,-115.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,100.0,19.0,1225.0,0.395,0.393,1.0,0.397,0.582,0.418,0.204,0.003,88.0,80.0,283.0,79.0,77.0,78.0,74.0,1.0,-68.0,-86.2,
CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),,40.0,0.0,413.0,0.409,0.436,0.326,0.449,0.815,0.478,0.145,0.247,89.0,86.0,90.0,86.0,106.0,86.0,57.0,74.0,-26.6,-30.9,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,7.0,0.0,46.0,0.467,0.417,0.667,0.533,1.0,0.597,0.267,0.2,102.0,83.0,186.0,104.0,130.0,108.0,99.0,63.0,0.6,1.5,
