Season,Team,Lg,Salary
2014-15,Orlando Magic,NBA,"$2,397,840"
2015-16,Orlando Magic,NBA,"$2,505,720"
2016-17,Orlando Magic,NBA,"$2,613,600"
2017-18,Phoenix Suns,NBA,"$3,332,340"
2018-19,New Orleans Pelicans,NBA,"$3,000,000"
2019-20,New York Knicks,NBA,"$8,000,000"
2020-21,New York Knicks,NBA,"$5,767,000"
2021-22,Phoenix Suns,NBA,"$2,239,544"
2024-25,New Orleans Pelicans,NBA,"$274,809"
2024-25,Charlotte Hornets,NBA,"$119,972"
2024-25,Charlotte Hornets,NBA,"$119,972"
2024-25,New Orleans Pelicans,NBA,"$119,972"
2024-25,New Orleans Pelicans,NBA,"$119,972"
2024-25,New Orleans Pelicans,NBA,"$34,351"
Career,(may be incomplete),,"$30,645,092"
