"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2014-15,23,DAL,NBA,WC1,HOU,L (1-4),2.0,1.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
2015-16,24,DAL,NBA,WC1,OKC,L (1-4),4.0,16.0,6.0,4.3,1.0,0.3,0.0,9.0,19.0,0.474,0.0,1.0,0.0,9.0,18.0,0.5,0.474,6.0,11.0,0.545,9.0,8.0,17.0,4.0,1.0,0.0,1.0,5.0,24.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,29,DAL,NBA,WC1,LAC,L (3-4),7.0,7.4,2.7,1.9,0.9,0.3,0.0,7.0,8.0,0.875,0.0,0.0,,7.0,8.0,0.875,0.875,5.0,6.0,0.833,5.0,8.0,13.0,6.0,2.0,0.0,1.0,8.0,19.0,
2021-22,30,DAL,NBA,WC1,UTA,W (4-2),6.0,17.7,4.2,3.7,0.5,0.2,0.5,10.0,18.0,0.556,0.0,2.0,0.0,10.0,16.0,0.625,0.556,5.0,8.0,0.625,8.0,14.0,22.0,3.0,1.0,3.0,5.0,17.0,25.0,
2021-22,30,DAL,NBA,WCS,PHO,W (4-3),7.0,13.4,3.4,2.1,0.1,0.1,0.4,9.0,12.0,0.75,0.0,0.0,,9.0,12.0,0.75,0.75,6.0,10.0,0.6,4.0,11.0,15.0,1.0,1.0,3.0,4.0,19.0,24.0,
2021-22,30,DAL,NBA,WCF,GSW,L (1-4),5.0,9.8,1.8,2.0,0.0,0.2,0.0,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,3.0,5.0,0.6,5.0,5.0,10.0,0.0,1.0,0.0,0.0,4.0,9.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,32,DAL,NBA,WC1,LAC,W (4-2),4.0,2.3,0.5,0.8,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,
2023-24,32,DAL,NBA,WCS,OKC,W (4-2),3.0,2.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,
2023-24,32,DAL,NBA,WCF,MIN,W (4-1),3.0,4.7,1.3,1.0,0.0,0.3,0.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,4.0,4.0,
2023-24,32,DAL,NBA,FIN,BOS,L (1-4),3.0,5.3,0.0,1.3,0.7,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,
5 Yrs (10 Series),5 Yrs (10 Series),5 Yrs (10 Series),5 Yrs (10 Series),5 Yrs (10 Series),5 Yrs (10 Series),5-5,44.0,9.4,2.4,2.0,0.4,0.2,0.1,39.0,66.0,0.591,0.0,3.0,0.0,39.0,63.0,0.619,0.591,29.0,46.0,0.63,34.0,56.0,90.0,18.0,7.0,6.0,14.0,63.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),2-3,23.0,10.2,3.0,2.4,0.7,0.2,0.1,26.0,46.0,0.565,0.0,3.0,0.0,26.0,43.0,0.605,0.565,18.0,27.0,0.667,24.0,32.0,56.0,15.0,4.0,3.0,7.0,33.0,70.0,
WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),2-0,10.0,10.0,2.4,1.7,0.1,0.1,0.3,9.0,12.0,0.75,0.0,0.0,,9.0,12.0,0.75,0.75,6.0,12.0,0.5,4.0,13.0,17.0,1.0,1.0,3.0,4.0,20.0,24.0,
WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),1-1,8.0,7.9,1.6,1.6,0.0,0.3,0.0,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,5.0,7.0,0.714,5.0,8.0,13.0,0.0,2.0,0.0,2.0,8.0,13.0,
