Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,19,CHO,NBA,PF,25,0,259,4.2,10.6,.395,0.7,1.8,.385,3.5,8.8,.397,.428,2.5,3.6,.692,3.9,8.1,12.0,0.6,0.6,1.3,1.5,2.8,11.5,
2015-16,20,POR,NBA,PF,78,56,1174,3.6,8.5,.421,0.3,1.4,.239,3.3,7.1,.457,.441,1.2,1.6,.745,2.8,6.6,9.4,0.9,0.8,0.8,1.5,4.7,8.7,
2016-17,21,POR,NBA,PF,74,41,1265,3.7,7.7,.481,0.2,0.6,.350,3.5,7.1,.492,.494,1.7,2.7,.638,3.7,7.3,11.0,0.9,0.9,0.8,1.8,4.4,9.3,
2017-18,22,2TM,NBA,PF,54,16,875,4.3,9.6,.444,0.8,2.7,.303,3.5,6.9,.500,.487,1.5,2.4,.621,2.9,9.9,12.8,1.4,0.8,0.7,1.3,2.8,10.9,
2017-18,22,POR,NBA,PF,33,12,476,3.6,7.3,.490,0.2,0.5,.333,3.4,6.8,.500,.500,1.7,2.3,.742,2.6,10.0,12.6,1.0,0.5,0.8,1.1,3.2,9.0,
2017-18,22,CHI,NBA,PF,21,4,399,5.1,12.5,.413,1.6,5.4,.300,3.5,7.0,.500,.478,1.2,2.4,.481,3.2,9.8,13.0,1.9,1.2,0.5,1.4,2.3,13.1,
2018-19,23,NYK,NBA,PF,68,57,1722,4.3,9.2,.470,1.0,2.9,.336,3.4,6.3,.531,.523,2.3,3.3,.712,2.4,8.7,11.0,2.7,1.0,1.1,1.8,3.6,11.9,
2019-20,24,2TM,NBA,C,36,1,377,5.0,8.8,.565,0.3,1.4,.200,4.7,7.4,.636,.582,2.4,3.1,.781,3.5,8.3,11.8,2.7,1.1,0.6,2.0,3.8,12.6,
2019-20,24,MIN,NBA,C,29,1,347,4.9,8.9,.547,0.2,1.5,.143,4.7,7.5,.625,.558,2.4,2.9,.821,3.5,8.5,12.0,2.7,1.1,0.6,2.0,3.7,12.3,
2019-20,24,DEN,NBA,C,7,0,30,6.0,7.2,.833,1.2,1.2,1.000,4.8,6.0,.800,.917,2.4,4.8,.500,3.6,6.0,9.6,2.4,0.0,0.0,2.4,4.8,15.6,
2020-21,25,BRK,NBA,C,4,0,11,0.0,9.8,.000,0.0,6.5,.000,0.0,3.3,.000,.000,0.0,0.0,,0.0,3.3,3.3,3.3,0.0,0.0,6.5,6.5,0.0,
2021-22,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2022-23,27,BOS,NBA,C,23,1,171,2.3,5.1,.458,0.2,0.8,.250,2.1,4.2,.500,.479,0.4,0.4,1.000,3.8,6.3,10.1,1.5,0.4,1.7,2.3,7.4,5.3,
2023-24,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,362,172,5854,4.0,8.7,.459,0.6,1.9,.307,3.4,6.9,.501,.492,1.8,2.6,.692,3.0,8.0,11.0,1.6,0.9,0.9,1.7,4.0,10.4,
