"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2014-15,21,PHO,NBA,SF,40,1,614,0,5,63,32,0,-7.9,-8.1,11,8,25,4,12,5,60,7,9,
2015-16,22,PHO,NBA,SF,47,4,1070,0,0,75,24,1,-6.2,1.5,13,7,54,5,29,4,105,10,15,
2016-17,23,PHO,NBA,SF,66,59,2048,0,1,69,30,1,-6.8,-1.9,24,14,89,9,69,5,171,15,42,
2017-18,24,PHO,NBA,SF,65,65,2142,0,0,87,13,0,-9.8,-0.3,31,18,63,16,126,6,207,37,53,
2018-19,25,PHO,NBA,SF,43,36,1360,0,0,1,99,0,-7.8,1.9,21,13,54,11,62,4,159,16,32,
2019-20,26,IND,NBA,SF,67,67,2202,0,1,67,32,0,3.3,2.5,29,23,74,16,107,21,230,40,33,
2020-21,27,IND,NBA,SF,4,4,117,0,2,75,23,0,1.3,1.4,0,3,7,1,7,2,13,4,2,
2021-22,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2022-23,29,2TM,NBA,PF,42,0,687,0,0,19,68,14,3.7,2.3,4,5,33,4,17,2,95,6,7,
2022-23,29,BRK,NBA,PF,26,0,490,0,0,20,62,18,0.1,-1.3,3,5,23,4,15,2,69,4,6,
2022-23,29,PHO,NBA,SF,16,0,197,0,0,16,83,2,12.6,11.3,1,0,10,0,2,0,26,2,1,
2023-24,30,MIN,NBA,SF,11,0,125,0,3,28,69,0,19.4,13.3,1,0,6,1,2,0,22,0,1,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,385,236,10365,0,1,60,38,1,-4.3,0.3,134,91,405,67,431,49,1062,135,194,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,50,2208,0,1,60,38,1,-4.3,0.3,29,19,86,14,92,10,226,29,41,
,,,,,,,,,,,,,,,,,,,,,,,,
PHO (6 Yrs),PHO (6 Yrs),PHO (6 Yrs),PHO (6 Yrs),,277,165,7431,0,1,60,38,0,-7.3,-0.4,101,60,295,45,300,24,728,87,152,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,71,71,2319,0,1,68,31,0,3.2,2.4,29,26,81,17,114,23,243,44,35,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,26,0,490,0,0,20,62,18,0.1,-1.3,3,5,23,4,15,2,69,4,6,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,11,0,125,0,3,28,69,0,19.4,13.3,1,0,6,1,2,0,22,0,1,
