"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2015-16,23,POR,NBA,SG,34.0,0.0,143.0,0.265,0.286,0.238,0.316,1.0,0.352,0.102,0.429,59.0,58.0,67.0,63.0,132.0,65.0,37.0,151.0,-18.2,-19.4,
2016-17,24,POR,NBA,SG,39.0,1.0,316.0,0.514,0.513,0.515,0.632,0.778,0.645,0.125,0.458,112.0,102.0,144.0,123.0,101.0,117.0,46.0,145.0,17.0,14.1,
2017-18,25,POR,NBA,SG,82.0,5.0,1488.0,0.423,0.506,0.352,0.518,0.841,0.539,0.113,0.538,92.0,99.0,97.0,99.0,110.0,97.0,45.0,160.0,-2.5,-14.3,
2018-19,26,MIL,NBA,SG,61.0,2.0,1261.0,0.466,0.647,0.33,0.56,0.725,0.573,0.114,0.571,101.0,124.0,93.0,107.0,95.0,102.0,44.0,159.0,25.1,9.6,
2019-20,27,MIL,NBA,SG,67.0,4.0,1243.0,0.455,0.607,0.331,0.547,0.775,0.565,0.133,0.551,99.0,116.0,93.0,103.0,100.0,100.0,51.0,144.0,10.6,0.2,
2020-21,28,MIL,NBA,SG,69.0,4.0,1575.0,0.434,0.583,0.371,0.565,0.775,0.578,0.103,0.703,93.0,110.0,101.0,105.0,100.0,101.0,42.0,179.0,20.7,5.3,
2021-22,29,MIL,NBA,SF,65.0,19.0,1691.0,0.458,0.643,0.395,0.605,0.833,0.62,0.109,0.746,99.0,121.0,112.0,114.0,108.0,110.0,44.0,187.0,72.6,56.6,
2022-23,30,MIL,NBA,SF,61.0,33.0,1443.0,0.392,0.566,0.339,0.521,0.659,0.531,0.097,0.765,82.0,103.0,94.0,96.0,84.0,91.0,37.0,197.0,-20.1,-44.4,
2023-24,31,MIL,NBA,SF,76.0,3.0,1676.0,0.435,0.633,0.345,0.553,0.759,0.574,0.167,0.686,92.0,116.0,94.0,101.0,97.0,99.0,68.0,174.0,4.7,-4.1,
2024-25,32,MIL,NBA,SG,41.0,1.0,603.0,0.469,0.594,0.321,0.542,0.774,0.567,0.175,0.458,100.0,109.0,89.0,100.0,99.0,98.0,72.0,109.0,-0.2,-3.7,
2025-26,33,CHO,NBA,SG,11.0,0.0,111.0,0.514,0.692,0.409,0.643,0.667,0.655,0.257,0.629,110.0,127.0,114.0,119.0,84.0,112.0,90.0,150.0,7.0,5.7,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,606.0,72.0,11550.0,0.439,0.584,0.357,0.553,0.771,0.569,0.123,0.64,95.0,111.0,99.0,104.0,99.0,100.0,48.0,168.0,116.7,5.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (7 Yrs),MIL (7 Yrs),MIL (7 Yrs),MIL (7 Yrs),,440.0,66.0,9492.0,0.441,0.613,0.355,0.559,0.76,0.575,0.123,0.665,95.0,115.0,99.0,104.0,98.0,101.0,49.0,171.0,113.4,19.5,
POR (3 Yrs),POR (3 Yrs),POR (3 Yrs),POR (3 Yrs),,155.0,6.0,1947.0,0.421,0.482,0.364,0.515,0.845,0.536,0.114,0.517,92.0,95.0,101.0,99.0,110.0,97.0,44.0,157.0,-3.7,-19.6,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,11.0,0.0,111.0,0.514,0.692,0.409,0.643,0.667,0.655,0.257,0.629,110.0,127.0,114.0,119.0,84.0,112.0,90.0,150.0,7.0,5.7,
