Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2016-17,22,ATL,NBA,SF,6.0,6.0,187.0,29.0,52.0,0.558,4.0,14.0,0.286,25.0,38.0,0.658,0.596,5.0,5.0,1.0,7.0,25.0,32.0,8.0,2.0,1.0,7.0,9.0,67.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,27,MIN,NBA,PF,5.0,0.0,65.0,10.0,27.0,0.37,4.0,14.0,0.286,6.0,13.0,0.462,0.444,6.0,7.0,0.857,1.0,7.0,8.0,6.0,2.0,1.0,4.0,5.0,30.0,0.0,
2022-23,28,MIN,NBA,PF,5.0,1.0,100.0,12.0,33.0,0.364,8.0,21.0,0.381,4.0,12.0,0.333,0.485,7.0,9.0,0.778,3.0,4.0,7.0,4.0,3.0,1.0,5.0,9.0,39.0,0.0,
2023-24,29,LAL,NBA,PF,5.0,0.0,111.0,12.0,29.0,0.414,5.0,17.0,0.294,7.0,12.0,0.583,0.5,8.0,8.0,1.0,1.0,11.0,12.0,3.0,1.0,2.0,1.0,9.0,37.0,0.0,
2024-25,30,MIL,NBA,SF,5.0,2.0,61.0,2.0,10.0,0.2,2.0,9.0,0.222,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,5.0,5.0,8.0,2.0,1.0,5.0,3.0,6.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,26.0,9.0,524.0,65.0,151.0,0.43,23.0,75.0,0.307,42.0,76.0,0.553,0.507,26.0,29.0,0.897,12.0,52.0,64.0,29.0,10.0,6.0,22.0,35.0,179.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,28.0,1653.0,205.0,476.0,0.43,73.0,237.0,0.307,132.0,240.0,0.553,0.507,82.0,91.0,0.897,38.0,164.0,202.0,91.0,32.0,19.0,69.0,110.0,565.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,10.0,1.0,165.0,22.0,60.0,0.367,12.0,35.0,0.343,10.0,25.0,0.4,0.467,13.0,16.0,0.813,4.0,11.0,15.0,10.0,5.0,2.0,9.0,14.0,69.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,6.0,6.0,187.0,29.0,52.0,0.558,4.0,14.0,0.286,25.0,38.0,0.658,0.596,5.0,5.0,1.0,7.0,25.0,32.0,8.0,2.0,1.0,7.0,9.0,67.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,5.0,0.0,111.0,12.0,29.0,0.414,5.0,17.0,0.294,7.0,12.0,0.583,0.5,8.0,8.0,1.0,1.0,11.0,12.0,3.0,1.0,2.0,1.0,9.0,37.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,2.0,61.0,2.0,10.0,0.2,2.0,9.0,0.222,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,5.0,5.0,8.0,2.0,1.0,5.0,3.0,6.0,0.0,
