Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2017-18,20,SAC,NBA,PG,73.0,61.0,2026.0,8.2,19.9,0.412,1.2,3.8,0.307,7.0,16.1,0.436,0.441,3.5,4.9,0.723,0.8,4.3,5.1,8.0,1.7,0.5,4.3,4.1,21.1,94.0,113.0,
2018-19,21,SAC,NBA,PG,81.0,81.0,2546.0,9.2,20.1,0.458,1.6,4.2,0.371,7.7,15.9,0.482,0.497,5.5,7.6,0.727,0.8,4.8,5.6,10.8,2.4,0.8,4.1,3.7,25.6,110.0,111.0,
2019-20,22,SAC,NBA,PG,51.0,49.0,1634.0,11.6,24.2,0.48,1.6,5.5,0.292,10.0,18.7,0.535,0.513,7.2,10.2,0.705,1.0,4.8,5.8,10.3,2.2,0.7,4.7,4.3,32.0,111.0,112.0,
2020-21,23,SAC,NBA,PG,58.0,58.0,2036.0,12.5,26.2,0.477,2.4,7.5,0.322,10.0,18.6,0.539,0.523,7.1,9.8,0.719,0.8,4.0,4.8,9.8,2.1,0.6,4.1,4.0,34.4,113.0,118.0,
2021-22,24,SAC,NBA,PG,59.0,59.0,2083.0,11.9,25.2,0.473,1.7,5.8,0.297,10.2,19.5,0.524,0.506,6.0,8.0,0.75,0.6,4.8,5.3,7.6,1.6,0.6,3.9,4.0,31.6,107.0,117.0,
2022-23,25,SAC,NBA,PG,73.0,73.0,2435.0,13.4,26.2,0.512,2.3,7.2,0.324,11.1,18.9,0.584,0.557,6.7,8.6,0.78,0.8,5.2,6.0,8.8,1.6,0.5,3.6,3.4,35.9,119.0,117.0,"MVP-11,CPOY-1,AS,NBA3"
2023-24,26,SAC,NBA,PG,74.0,74.0,2659.0,13.2,28.3,0.465,3.9,10.6,0.369,9.2,17.7,0.522,0.534,5.7,7.7,0.738,1.2,5.0,6.2,7.6,2.7,0.6,3.5,3.5,35.9,113.0,114.0,CPOY-12
2024-25,27,2TM,NBA,PG,62.0,62.0,2241.0,11.7,25.3,0.463,2.6,8.3,0.31,9.2,17.0,0.538,0.514,5.7,6.9,0.827,1.2,5.3,6.5,8.5,2.0,0.5,3.8,3.6,31.7,113.0,117.0,
2024-25,27,SAC,NBA,PG,45.0,45.0,1663.0,12.2,26.0,0.469,2.7,8.4,0.322,9.5,17.6,0.539,0.521,6.0,7.2,0.829,1.3,5.3,6.6,8.1,1.9,0.6,3.9,3.5,33.1,113.0,117.0,
2024-25,27,SAS,NBA,PG,17.0,17.0,578.0,10.5,23.4,0.446,2.2,7.9,0.274,8.3,15.5,0.535,0.493,4.9,6.0,0.819,0.8,5.4,6.1,9.7,2.1,0.4,3.4,3.8,28.0,111.0,118.0,
2025-26,28,SAS,NBA,PG,6.0,6.0,204.0,12.6,24.7,0.51,3.6,9.5,0.375,9.0,15.2,0.594,0.582,3.6,4.0,0.882,1.7,2.8,4.5,8.8,1.7,0.5,5.2,3.8,32.2,115.0,115.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,537.0,523.0,17864.0,11.5,24.5,0.47,2.2,6.8,0.331,9.3,17.7,0.524,0.516,5.9,7.9,0.747,0.9,4.8,5.7,8.9,2.1,0.6,4.0,3.8,31.2,111.0,115.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (8 Yrs),SAC (8 Yrs),SAC (8 Yrs),SAC (8 Yrs),,514.0,500.0,17082.0,11.5,24.5,0.471,2.2,6.7,0.333,9.3,17.8,0.523,0.516,5.9,8.0,0.744,0.9,4.8,5.7,8.9,2.1,0.6,4.0,3.8,31.3,111.0,115.0,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,23.0,23.0,782.0,11.0,23.7,0.464,2.5,8.3,0.304,8.5,15.4,0.55,0.517,4.6,5.5,0.831,1.0,4.7,5.7,9.5,2.0,0.4,3.9,3.8,29.1,112.0,117.0,
