"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Semi Ojeleye,,1.9,1.2,1.2,0.7,0.2,,
Cliff Meely,89.5,1.8,1.2,1.0,0.4,0.2,,
Tony Brown,87.9,1.8,1.3,0.9,0.5,0.2,0.2,0.0
Henry Walker,82.7,1.9,1.1,0.9,0.5,0.5,,
Bob Brannum,82.2,2.0,1.6,1.1,0.8,0.0,,
Pete Verhoeven,82.1,2.1,1.2,0.8,0.7,0.4,0.0,
Bob Portman,81.1,1.9,1.2,0.8,0.5,,,
Jeff Ayres,81.0,2.4,1.3,1.2,1.0,0.3,0.2,
Chuma Okeke,80.2,2.2,1.3,0.7,0.6,0.3,,
Thomas Robinson,79.3,1.6,1.5,0.9,0.6,-0.1,,
Nassir Little,79.2,1.7,1.1,0.7,0.7,0.6,,
