"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2018-19,19.0,SAC,NBA,37:48,12.0,20.0,3.0,5.0,10.0,19.0,11.0,14.0,7.0,10.0,17.0,4.0,3.0,5.0,5.0,6.0,32.0,27.8
2019-20,20.0,SAC,NBA,38:24,8.0,19.0,1.0,4.0,8.0,16.0,6.0,7.0,5.0,10.0,15.0,2.0,2.0,3.0,2.0,5.0,18.0,14.0
2020-21,21.0,SAC,NBA,36:14,13.0,22.0,3.0,6.0,13.0,21.0,7.0,8.0,8.0,9.0,12.0,3.0,2.0,2.0,3.0,6.0,31.0,25.0
2021-22,22.0,TOT,NBA,36:16,12.0,20.0,2.0,5.0,12.0,18.0,5.0,10.0,6.0,9.0,13.0,4.0,2.0,2.0,4.0,5.0,27.0,23.0
2021-22,22.0,SAC,NBA,34:43,12.0,20.0,2.0,5.0,12.0,18.0,4.0,5.0,6.0,9.0,13.0,4.0,2.0,2.0,3.0,4.0,26.0,23.0
2021-22,22.0,DET,NBA,36:16,11.0,16.0,2.0,5.0,10.0,14.0,5.0,10.0,4.0,8.0,11.0,3.0,2.0,2.0,4.0,5.0,27.0,22.6
2022-23,23.0,DET,NBA,41:19,12.0,19.0,4.0,6.0,10.0,17.0,7.0,8.0,11.0,9.0,18.0,4.0,3.0,4.0,4.0,5.0,31.0,30.4
2023-24,24.0,TOT,NBA,39:07,11.0,19.0,2.0,3.0,10.0,16.0,7.0,9.0,10.0,9.0,15.0,4.0,2.0,3.0,5.0,5.0,23.0,21.4
2023-24,24.0,DET,NBA,33:19,10.0,13.0,1.0,2.0,10.0,13.0,7.0,8.0,6.0,6.0,11.0,3.0,1.0,3.0,5.0,5.0,22.0,19.5
2023-24,24.0,WAS,NBA,39:07,11.0,19.0,2.0,3.0,10.0,16.0,7.0,9.0,10.0,9.0,15.0,4.0,2.0,3.0,5.0,5.0,23.0,21.4
2024-25,25.0,TOT,NBA,30:47,11.0,18.0,2.0,3.0,11.0,16.0,5.0,5.0,5.0,7.0,12.0,3.0,2.0,3.0,2.0,4.0,25.0,23.3
2024-25,25.0,WAS,NBA,24:32,9.0,15.0,2.0,3.0,9.0,13.0,5.0,5.0,5.0,5.0,8.0,2.0,2.0,3.0,2.0,4.0,20.0,18.9
2024-25,25.0,MEM,NBA,30:47,11.0,18.0,1.0,2.0,11.0,16.0,3.0,4.0,5.0,7.0,12.0,3.0,1.0,2.0,1.0,2.0,25.0,23.3
2025-26,26.0,WAS,NBA,30:33,6.0,11.0,1.0,2.0,6.0,11.0,2.0,4.0,4.0,6.0,7.0,3.0,3.0,3.0,3.0,4.0,14.0,16.6
Career,,,,41:19,13.0,22.0,4.0,6.0,13.0,21.0,11.0,14.0,11.0,10.0,18.0,4.0,3.0,5.0,5.0,6.0,32.0,30.4
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,SAC,NBA,38:24,13.0,22.0,3.0,6.0,13.0,21.0,11.0,14.0,8.0,10.0,17.0,4.0,3.0,5.0,5.0,6.0,32.0,27.8
3 Seasons,,DET,NBA,41:19,12.0,19.0,4.0,6.0,10.0,17.0,7.0,10.0,11.0,9.0,18.0,4.0,3.0,4.0,5.0,5.0,31.0,30.4
3 Seasons,,WAS,NBA,39:07,11.0,19.0,2.0,3.0,10.0,16.0,7.0,9.0,10.0,9.0,15.0,4.0,3.0,3.0,5.0,5.0,23.0,21.4
1 Season,,MEM,NBA,30:47,11.0,18.0,1.0,2.0,11.0,16.0,3.0,4.0,5.0,7.0,12.0,3.0,1.0,2.0,1.0,2.0,25.0,23.3
