Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2018-19,20,CHO,NBA,SF,80,25,1696,13.1,.548,.391,.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,.083,-0.9,0.1,-0.8,0.5,
2019-20,21,CHO,NBA,SF,65,64,1995,12.1,.520,.398,.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,0.3,1.3,1.6,.039,-1.5,-1.0,-2.5,-0.3,
2020-21,22,CHO,NBA,PF,66,19,1932,14.7,.625,.466,.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,.105,0.2,0.1,0.2,1.1,6MOY-12
2021-22,23,CHO,NBA,PF,80,80,2837,17.9,.593,.383,.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,5.0,2.3,7.2,.123,1.8,-0.3,1.5,2.5,
2022-23,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out,Did not play - sat out
2023-24,25,CHO,NBA,SF,69,67,2581,15.4,.556,.372,.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,.040,0.2,-1.3,-1.1,0.6,
2024-25,26,CHO,NBA,PF,64,64,2029,17.7,.541,.413,.233,3.7,21.9,12.6,21.7,1.1,2.2,10.2,28.0,1.3,1.8,3.2,.075,2.3,-0.5,1.8,2.0,
2025-26,27,CHO,NBA,PF,15,15,529,17.7,.566,.509,.257,3.8,18.2,11.0,17.0,1.0,1.3,7.2,24.8,1.1,0.2,1.3,.118,2.6,-1.4,1.2,0.4,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,439,334,13599,15.5,.564,.404,.210,3.8,18.3,10.9,13.9,1.2,2.1,10.1,21.8,12.2,10.5,22.6,.080,0.6,-0.6,0.0,6.8,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,62,2540,15.5,.564,.404,.210,3.8,18.3,10.9,13.9,1.2,2.1,10.1,21.8,2.3,2.0,4.2,.080,0.6,-0.6,0.0,1.3,
