"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2019-20,21,POR,NBA,SF,5.0,1.0,153.0,0.356,18.5,0.467,0.133,0.067,0.133,0.133,0.533,0.286,0.333,0.333,0.5,0.0,0.417,0.167,0.8,0.0,0.0,0.333,0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,23,TOR,NBA,SG,6.0,6.0,199.0,0.378,18.9,0.524,0.061,0.134,0.073,0.256,0.476,0.419,0.6,0.182,0.5,0.476,0.333,0.389,0.923,0.024,2.0,0.077,1.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,26,MIL,NBA,SG,5.0,3.0,171.0,0.516,22.3,0.29,0.048,0.081,0.032,0.129,0.71,0.556,0.667,0.6,0.0,0.625,0.5,0.2,0.909,0.0,0.0,0.182,0.5,1.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,16.0,10.0,523.0,0.418,19.9,0.434,0.074,0.101,0.074,0.185,0.566,0.415,0.5,0.316,0.429,0.429,0.421,0.294,0.889,0.011,2.0,0.178,0.579,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,51.0,2680.0,0.418,19.9,0.434,0.074,0.101,0.074,0.185,0.566,0.415,0.5,0.316,0.429,0.429,0.421,0.294,0.889,0.011,10.0,0.178,0.579,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,6.0,6.0,199.0,0.378,18.9,0.524,0.061,0.134,0.073,0.256,0.476,0.419,0.6,0.182,0.5,0.476,0.333,0.389,0.923,0.024,2.0,0.077,1.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,3.0,171.0,0.516,22.3,0.29,0.048,0.081,0.032,0.129,0.71,0.556,0.667,0.6,0.0,0.625,0.5,0.2,0.909,0.0,0.0,0.182,0.5,1.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,5.0,1.0,153.0,0.356,18.5,0.467,0.133,0.067,0.133,0.133,0.533,0.286,0.333,0.333,0.5,0.0,0.417,0.167,0.8,0.0,0.0,0.333,0.5,0.0,0.0,
