"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Carsen Edwards,,0.3,0.1,-0.1
A.J. Guyton,70.1,0.3,0.1,-0.1
Dave Jamerson,69.9,0.2,0.1,-0.1
Brad Holland,69.4,0.3,0.1,-0.1
Eddie Gill,68.0,0.3,0.1,0.0
Elijah Millsap,66.9,0.4,0.1,-0.1
Rusty LaRue,63.8,0.3,0.1,-0.1
David Duke Jr.,60.2,0.3,0.1,-0.1
Randy Livingston,57.5,0.3,0.1,0.0
Paul Long,56.7,0.3,0.2,-0.2
Malcolm Lee,54.1,0.4,0.1,0.0
