"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2019-20,21,BOS,NBA,PF,69.0,5.0,1043.0,0.0,1.0,38.0,55.0,6.0,7.2,1.0,22.0,6.0,85.0,19.0,22.0,12.0,161.0,7.0,14.0,
2020-21,22,BOS,NBA,PF,63.0,9.0,1138.0,0.0,0.0,9.0,83.0,7.0,-1.9,-4.2,25.0,14.0,62.0,13.0,16.0,14.0,166.0,5.0,15.0,
2021-22,23,BOS,NBA,PF,77.0,21.0,1875.0,0.0,0.0,3.0,94.0,3.0,4.5,-6.0,28.0,17.0,90.0,10.0,39.0,22.0,196.0,14.0,18.0,
2022-23,24,BOS,NBA,PF,79.0,23.0,2045.0,0.0,0.0,5.0,86.0,8.0,5.3,-2.7,27.0,20.0,100.0,17.0,47.0,20.0,333.0,12.0,21.0,
2023-24,25,2TM,NBA,PF,76.0,43.0,2130.0,0.0,0.0,13.0,67.0,20.0,-5.1,-3.0,39.0,29.0,111.0,26.0,57.0,30.0,424.0,16.0,28.0,
2023-24,25,DAL,NBA,PF,47.0,33.0,1242.0,0.0,0.0,1.0,84.0,15.0,-3.7,-8.4,16.0,17.0,70.0,12.0,23.0,9.0,206.0,6.0,16.0,
2023-24,25,CHO,NBA,PF,29.0,10.0,888.0,0.0,1.0,29.0,43.0,27.0,-7.1,4.5,23.0,12.0,41.0,14.0,34.0,21.0,218.0,10.0,12.0,
2024-25,26,CHO,NBA,PF,16.0,7.0,479.0,0.0,0.0,8.0,84.0,8.0,0.9,11.7,7.0,12.0,24.0,7.0,13.0,7.0,98.0,1.0,6.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,380.0,108.0,8710.0,0.0,0.0,11.0,79.0,10.0,1.6,-2.4,148.0,98.0,472.0,92.0,194.0,105.0,1378.0,55.0,102.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,23.0,1880.0,0.0,0.0,11.0,79.0,10.0,1.6,-2.4,32.0,21.0,102.0,20.0,42.0,23.0,297.0,12.0,22.0,
,,,,,,,,,,,,,,,,,,,,,,,,
BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),,288.0,58.0,6101.0,0.0,0.0,11.0,83.0,6.0,4.1,-3.3,102.0,57.0,337.0,59.0,124.0,68.0,856.0,38.0,68.0,
CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),,45.0,17.0,1367.0,0.0,0.0,22.0,58.0,20.0,-4.3,7.0,30.0,24.0,65.0,21.0,47.0,28.0,316.0,11.0,18.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,47.0,33.0,1242.0,0.0,0.0,1.0,84.0,15.0,-3.7,-8.4,16.0,17.0,70.0,12.0,23.0,9.0,206.0,6.0,16.0,
