Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2000-01,23,HOU,NBA,SF,33.0,0.0,241.0,9.4,0.403,0.01,0.293,6.4,13.1,9.8,2.8,1.5,0.3,6.7,22.9,-0.2,0.2,-0.1,-0.014,-4.0,-2.3,-6.3,-0.3,
2001-02,24,HOU,NBA,SF,34.0,8.0,434.0,8.5,0.412,0.032,0.088,5.7,12.0,8.8,5.4,1.0,0.8,6.5,14.8,-0.1,0.1,0.0,0.001,-3.0,-1.6,-4.6,-0.3,
2002-03,25,PHO,NBA,SF,60.0,0.0,541.0,9.4,0.434,0.153,0.099,3.9,14.3,9.1,6.4,1.5,0.8,7.1,18.8,-0.1,0.6,0.4,0.038,-3.2,-0.4,-3.6,-0.2,
2003-04,26,2TM,NBA,SF,6.0,0.0,37.0,1.8,0.437,0.143,0.143,0.0,12.2,6.1,0.0,0.0,0.0,11.8,20.9,-0.1,0.0,-0.1,-0.068,-8.7,-1.2,-9.9,-0.1,
2003-04,26,GSW,NBA,SF,4.0,0.0,17.0,-2.1,0.436,0.0,0.333,0.0,19.9,9.9,0.0,0.0,0.0,22.5,24.1,-0.1,0.0,0.0,-0.125,-15.8,-1.1,-16.9,-0.1,
2003-04,26,MIL,NBA,SF,2.0,0.0,20.0,5.1,0.438,0.25,0.0,0.0,5.7,2.8,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,-0.019,-2.6,-1.3,-3.9,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,133.0,8.0,1253.0,8.8,0.421,0.086,0.141,4.9,13.2,9.1,5.2,1.3,0.7,7.0,18.3,-0.5,0.8,0.3,0.012,-3.4,-1.2,-4.6,-0.8,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,773.0,8.8,0.421,0.086,0.141,4.9,13.2,9.1,5.2,1.3,0.7,7.0,18.3,-0.3,0.5,0.2,0.012,-3.4,-1.2,-4.6,-0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,67.0,8.0,675.0,8.8,0.408,0.022,0.179,6.0,12.4,9.2,4.5,1.2,0.6,6.6,17.7,-0.3,0.3,-0.1,-0.004,-3.3,-1.8,-5.2,-0.5,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,60.0,0.0,541.0,9.4,0.434,0.153,0.099,3.9,14.3,9.1,6.4,1.5,0.8,7.1,18.8,-0.1,0.6,0.4,0.038,-3.2,-0.4,-3.6,-0.2,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,4.0,0.0,17.0,-2.1,0.436,0.0,0.333,0.0,19.9,9.9,0.0,0.0,0.0,22.5,24.1,-0.1,0.0,0.0,-0.125,-15.8,-1.1,-16.9,-0.1,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,2.0,0.0,20.0,5.1,0.438,0.25,0.0,0.0,5.7,2.8,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,-0.019,-2.6,-1.3,-3.9,0.0,
