"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2000-01,23,HOU,NBA,SF,33.0,0.0,241.0,0.374,11.8,0.99,0.263,0.182,0.091,0.455,0.01,0.378,0.346,0.278,0.333,0.444,0.0,0.595,,0.03,2.0,0.0,,0.0,0.0,
2001-02,24,HOU,NBA,SF,34.0,8.0,434.0,0.392,14.7,0.968,0.168,0.072,0.136,0.592,0.032,0.397,0.524,0.333,0.118,0.432,0.25,0.708,1.0,0.016,2.0,0.25,1.0,0.0,0.0,
2002-03,25,PHO,NBA,SF,60.0,0.0,541.0,0.401,16.0,0.847,0.153,0.02,0.158,0.515,0.153,0.421,0.452,0.25,0.313,0.452,0.29,0.75,1.0,0.01,2.0,0.419,0.385,0.0,0.0,
2003-04,26,2TM,NBA,SF,6.0,0.0,37.0,0.357,15.9,0.857,0.0,0.0,0.643,0.214,0.143,0.333,,,0.444,0.0,0.5,0.25,1.0,0.0,0.0,1.0,0.5,0.0,0.0,
2003-04,26,GSW,NBA,SF,4.0,0.0,17.0,0.333,15.3,1.0,0.0,0.0,0.667,0.333,0.0,0.333,,,0.5,0.0,,0.0,,0.0,0.0,,,0.0,0.0,
2003-04,26,MIL,NBA,SF,2.0,0.0,20.0,0.375,16.4,0.75,0.0,0.0,0.625,0.125,0.25,0.333,,,0.4,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,133.0,8.0,1253.0,0.391,14.8,0.914,0.177,0.07,0.152,0.514,0.086,0.4,0.436,0.29,0.284,0.438,0.289,0.689,1.0,0.016,6.0,0.421,0.438,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,773.0,0.391,14.8,0.914,0.177,0.07,0.152,0.514,0.086,0.4,0.436,0.29,0.284,0.438,0.289,0.689,1.0,0.016,4.0,0.421,0.438,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,67.0,8.0,675.0,0.384,13.2,0.978,0.21,0.121,0.116,0.531,0.022,0.388,0.426,0.296,0.192,0.437,0.2,0.659,1.0,0.022,4.0,0.2,1.0,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,60.0,0.0,541.0,0.401,16.0,0.847,0.153,0.02,0.158,0.515,0.153,0.421,0.452,0.25,0.313,0.452,0.29,0.75,1.0,0.01,2.0,0.419,0.385,0.0,0.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,4.0,0.0,17.0,0.333,15.3,1.0,0.0,0.0,0.667,0.333,0.0,0.333,,,0.5,0.0,,0.0,,0.0,0.0,,,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,2.0,0.0,20.0,0.375,16.4,0.75,0.0,0.0,0.625,0.125,0.25,0.333,,,0.4,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,
