Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2000-01,22,BOS,NBA,C,24.0,0.0,135.0,12.0,30.0,0.4,0.0,1.0,0.0,12.0,29.0,0.414,0.4,11.0,26.0,0.423,12.0,30.0,42.0,3.0,3.0,4.0,18.0,29.0,35.0,0.0,
2001-02,23,CHH,NBA,C,15.0,0.0,76.0,8.0,20.0,0.4,0.0,0.0,,8.0,20.0,0.4,0.4,0.0,0.0,,4.0,21.0,25.0,4.0,3.0,2.0,8.0,12.0,16.0,0.0,
2002-03,24,NOH,NBA,C,51.0,1.0,644.0,89.0,171.0,0.52,0.0,0.0,,89.0,171.0,0.52,0.52,27.0,41.0,0.659,59.0,119.0,178.0,22.0,19.0,44.0,46.0,87.0,205.0,0.0,
2003-04,25,TOR,NBA,PF,35.0,1.0,417.0,40.0,84.0,0.476,0.0,1.0,0.0,40.0,83.0,0.482,0.476,22.0,38.0,0.579,41.0,72.0,113.0,8.0,17.0,12.0,25.0,42.0,102.0,0.0,
2004-05,26,3TM,NBA,PF,20.0,1.0,120.0,9.0,18.0,0.5,0.0,1.0,0.0,9.0,17.0,0.529,0.5,10.0,13.0,0.769,10.0,27.0,37.0,1.0,3.0,6.0,7.0,13.0,28.0,0.0,
2004-05,26,TOR,NBA,C,8.0,1.0,69.0,3.0,9.0,0.333,0.0,1.0,0.0,3.0,8.0,0.375,0.333,8.0,9.0,0.889,6.0,17.0,23.0,0.0,2.0,3.0,6.0,7.0,14.0,0.0,
2004-05,26,NJN,NBA,C,8.0,0.0,24.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,4.0,0.5,3.0,4.0,7.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,
2004-05,26,CLE,NBA,PF,4.0,0.0,27.0,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,6.0,7.0,1.0,1.0,2.0,0.0,4.0,6.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,145.0,3.0,1392.0,158.0,323.0,0.489,0.0,3.0,0.0,158.0,320.0,0.494,0.489,70.0,118.0,0.593,126.0,269.0,395.0,38.0,45.0,68.0,104.0,183.0,386.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,2.0,787.0,89.0,183.0,0.489,0.0,2.0,0.0,89.0,181.0,0.494,0.489,40.0,67.0,0.593,71.0,152.0,223.0,21.0,25.0,38.0,59.0,103.0,218.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,43.0,2.0,486.0,43.0,93.0,0.462,0.0,2.0,0.0,43.0,91.0,0.473,0.462,30.0,47.0,0.638,47.0,89.0,136.0,8.0,19.0,15.0,31.0,49.0,116.0,0.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,51.0,1.0,644.0,89.0,171.0,0.52,0.0,0.0,,89.0,171.0,0.52,0.52,27.0,41.0,0.659,59.0,119.0,178.0,22.0,19.0,44.0,46.0,87.0,205.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,24.0,0.0,135.0,12.0,30.0,0.4,0.0,1.0,0.0,12.0,29.0,0.414,0.4,11.0,26.0,0.423,12.0,30.0,42.0,3.0,3.0,4.0,18.0,29.0,35.0,0.0,
CHH (1 Yr),CHH (1 Yr),CHH (1 Yr),CHH (1 Yr),,15.0,0.0,76.0,8.0,20.0,0.4,0.0,0.0,,8.0,20.0,0.4,0.4,0.0,0.0,,4.0,21.0,25.0,4.0,3.0,2.0,8.0,12.0,16.0,0.0,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,8.0,0.0,24.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,4.0,0.5,3.0,4.0,7.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,4.0,0.0,27.0,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,6.0,7.0,1.0,1.0,2.0,0.0,4.0,6.0,0.0,
