"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2000-01,21,SAC,NBA,SF,74.0,7.0,1245.0,0.412,13.1,0.743,0.263,0.14,0.116,0.224,0.257,0.442,0.568,0.319,0.282,0.453,0.326,0.455,0.821,0.018,6.0,0.453,0.359,0.0,0.0,
2001-02,22,SAC,NBA,SF,80.0,10.0,1970.0,0.422,14.2,0.751,0.217,0.114,0.146,0.275,0.249,0.44,0.523,0.372,0.41,0.418,0.368,0.471,0.905,0.031,20.0,0.199,0.382,1.0,0.0,6MOY-7
2002-03,23,SAC,NBA,SF,67.0,11.0,1175.0,0.422,14.4,0.801,0.21,0.12,0.102,0.368,0.199,0.435,0.573,0.298,0.45,0.396,0.372,0.485,0.966,0.028,9.0,0.154,0.167,1.0,0.0,
2003-04,24,SAS,NBA,SF,80.0,44.0,2073.0,0.406,16.2,0.626,0.169,0.102,0.109,0.247,0.374,0.399,0.532,0.288,0.329,0.384,0.419,0.547,0.921,0.019,11.0,0.353,0.506,1.0,0.0,
2004-05,25,ORL,NBA,SF,67.0,11.0,1757.0,0.419,15.2,0.687,0.231,0.077,0.128,0.251,0.313,0.438,0.619,0.333,0.4,0.321,0.38,0.451,0.839,0.035,25.0,0.102,0.24,2.0,0.0,6MOY-14
2005-06,26,ORL,NBA,SF,78.0,59.0,2615.0,0.454,15.2,0.677,0.23,0.075,0.139,0.233,0.323,0.478,0.55,0.348,0.443,0.471,0.403,0.38,0.921,0.024,19.0,0.17,0.542,3.0,0.0,
2006-07,27,ORL,NBA,SF,73.0,73.0,2268.0,0.419,15.1,0.659,0.221,0.09,0.145,0.203,0.341,0.435,0.555,0.324,0.513,0.299,0.388,0.407,0.945,0.012,7.0,0.228,0.406,2.0,0.0,
2007-08,28,ORL,NBA,SF,82.0,82.0,3026.0,0.456,13.6,0.66,0.317,0.081,0.126,0.135,0.34,0.485,0.587,0.364,0.392,0.406,0.4,0.246,0.777,0.025,25.0,0.176,0.479,4.0,0.0,MIP-1
2008-09,29,ORL,NBA,SF,77.0,77.0,2815.0,0.413,15.1,0.633,0.26,0.075,0.129,0.17,0.367,0.445,0.538,0.299,0.47,0.351,0.356,0.218,0.799,0.006,5.0,0.106,0.325,5.0,0.0,DPOY-16
2009-10,30,TOR,NBA,SF,74.0,69.0,2272.0,0.409,16.6,0.571,0.231,0.062,0.091,0.187,0.429,0.436,0.532,0.452,0.344,0.357,0.374,0.31,0.787,0.025,14.0,0.104,0.467,7.0,0.0,
2010-11,31,2TM,NBA,PF,81.0,72.0,2540.0,0.446,17.8,0.571,0.133,0.083,0.112,0.242,0.429,0.473,0.594,0.35,0.457,0.457,0.41,0.297,0.756,0.011,4.0,0.139,0.488,2.0,0.0,
2010-11,31,PHO,NBA,PF,25.0,16.0,630.0,0.44,17.7,0.497,0.155,0.119,0.052,0.171,0.503,0.458,0.567,0.348,0.5,0.424,0.423,0.341,0.927,0.01,1.0,0.082,0.625,0.0,0.0,
2010-11,31,ORL,NBA,SF,56.0,56.0,1910.0,0.448,18.0,0.597,0.125,0.07,0.134,0.268,0.403,0.478,0.606,0.351,0.451,0.465,0.404,0.285,0.674,0.011,3.0,0.164,0.457,2.0,0.0,
2011-12,32,ORL,NBA,SF,53.0,53.0,1653.0,0.415,18.1,0.488,0.183,0.046,0.079,0.181,0.512,0.48,0.663,0.391,0.375,0.363,0.353,0.254,0.571,0.006,2.0,0.167,0.326,1.0,0.0,
2012-13,33,ORL,NBA,SF,11.0,1.0,189.0,0.264,15.4,0.547,0.245,0.132,0.057,0.113,0.453,0.448,0.692,0.429,0.0,0.167,0.042,0.385,0.0,0.0,0.0,0.167,0.0,0.0,0.0,
2013-14,34,LAC,NBA,SF,38.0,0.0,392.0,0.385,17.3,0.541,0.138,0.138,0.073,0.193,0.459,0.339,0.533,0.267,0.125,0.333,0.44,0.7,0.909,0.009,1.0,0.16,0.375,0.0,0.0,
2014-15,35,LAC,NBA,SF,62.0,2.0,705.0,0.441,21.1,0.261,0.074,0.032,0.032,0.122,0.739,0.469,0.714,0.333,0.5,0.348,0.432,0.565,0.9,0.005,1.0,0.23,0.563,0.0,0.0,
15 Yrs,15 Yrs,15 Yrs,15 Yrs,,997.0,571.0,26695.0,0.426,16.0,0.641,0.225,0.085,0.119,0.212,0.359,0.45,0.568,0.34,0.416,0.387,0.384,0.365,0.827,0.019,149.0,0.179,0.428,29.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,47.0,2196.0,0.426,16.0,0.641,0.225,0.085,0.119,0.212,0.359,0.45,0.568,0.34,0.416,0.387,0.384,0.365,0.827,0.019,12.0,0.179,0.428,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (8 Yrs),ORL (8 Yrs),ORL (8 Yrs),ORL (8 Yrs),,497.0,412.0,16233.0,0.432,15.7,0.64,0.239,0.076,0.127,0.197,0.36,0.462,0.579,0.341,0.438,0.382,0.379,0.319,0.796,0.018,86.0,0.158,0.41,19.0,0.0,
SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),,221.0,28.0,4390.0,0.42,13.9,0.763,0.226,0.122,0.127,0.289,0.237,0.439,0.549,0.337,0.391,0.417,0.358,0.471,0.9,0.027,35.0,0.254,0.341,2.0,0.0,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,100.0,2.0,1097.0,0.421,19.2,0.364,0.098,0.071,0.047,0.148,0.636,0.398,0.621,0.286,0.286,0.341,0.434,0.628,0.902,0.007,2.0,0.212,0.525,0.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,80.0,44.0,2073.0,0.406,16.2,0.626,0.169,0.102,0.109,0.247,0.374,0.399,0.532,0.288,0.329,0.384,0.419,0.547,0.921,0.019,11.0,0.353,0.506,1.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,74.0,69.0,2272.0,0.409,16.6,0.571,0.231,0.062,0.091,0.187,0.429,0.436,0.532,0.452,0.344,0.357,0.374,0.31,0.787,0.025,14.0,0.104,0.467,7.0,0.0,
