"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2001-02,23,UTA,NBA,C,70.0,68.0,1440.0,0.461,5.8,0.997,0.513,0.181,0.207,0.096,0.003,0.462,0.563,0.258,0.423,0.394,0.0,0.646,0.044,14.0,0.0,0.0,0.0,
2002-03,24,UTA,NBA,C,22.0,7.0,421.0,0.442,6.7,0.988,0.5,0.116,0.233,0.14,0.012,0.447,0.605,0.1,0.25,0.5,0.0,0.737,0.023,1.0,0.0,0.0,0.0,
2003-04,25,UTA,NBA,C,81.0,31.0,1732.0,0.498,6.5,0.997,0.532,0.112,0.146,0.207,0.003,0.5,0.605,0.515,0.233,0.41,0.0,0.741,0.003,0.0,0.0,1.0,0.0,
2004-05,26,UTA,NBA,C,50.0,38.0,961.0,0.414,8.3,0.994,0.414,0.121,0.242,0.217,0.006,0.417,0.492,0.263,0.368,0.412,0.0,0.723,0.006,1.0,0.0,1.0,0.0,
2005-06,27,UTA,NBA,C,79.0,41.0,1730.0,0.461,8.0,1.0,0.464,0.075,0.232,0.229,0.0,0.461,0.608,0.238,0.354,0.344,,0.628,0.004,1.0,,0.0,0.0,
2006-07,28,UTA,NBA,C,82.0,9.0,913.0,0.441,8.1,1.0,0.435,0.129,0.171,0.265,0.0,0.441,0.581,0.364,0.31,0.333,,0.72,0.018,3.0,,0.0,0.0,
2007-08,29,UTA,NBA,C,70.0,9.0,702.0,0.439,10.6,0.988,0.317,0.098,0.195,0.378,0.012,0.444,0.692,0.5,0.375,0.258,0.0,0.639,0.024,2.0,0.0,0.0,0.0,
2008-09,30,UTA,NBA,C,26.0,3.0,201.0,0.457,7.1,1.0,0.486,0.114,0.171,0.229,0.0,0.457,0.471,0.5,0.667,0.25,,0.5,0.0,0.0,,0.0,0.0,
2009-10,31,PHO,NBA,C,34.0,10.0,261.0,0.387,5.1,1.0,0.484,0.355,0.097,0.065,0.0,0.387,0.533,0.273,0.0,0.5,,0.417,0.0,0.0,,0.0,0.0,
2010-11,32,2TM,NBA,C,28.0,0.0,181.0,0.286,8.4,1.0,0.333,0.238,0.143,0.286,0.0,0.286,0.714,0.0,0.0,0.167,,0.667,0.0,0.0,,0.0,0.0,
2010-11,32,LAC,NBA,C,23.0,0.0,157.0,0.333,9.2,1.0,0.267,0.267,0.2,0.267,0.0,0.333,1.0,0.0,0.0,0.25,,0.6,0.0,0.0,,0.0,0.0,
2010-11,32,POR,NBA,C,5.0,0.0,24.0,0.167,7.6,1.0,0.5,0.167,0.0,0.333,0.0,0.167,0.333,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,542.0,216.0,8542.0,0.455,7.5,0.997,0.473,0.13,0.196,0.197,0.003,0.456,0.582,0.313,0.344,0.361,0.0,0.676,0.017,22.0,0.0,2.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,33.0,1292.0,0.455,7.5,0.997,0.473,0.13,0.196,0.197,0.003,0.456,0.582,0.313,0.344,0.361,0.0,0.676,0.017,3.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (8 Yrs),UTA (8 Yrs),UTA (8 Yrs),UTA (8 Yrs),,480.0,206.0,8100.0,0.459,7.6,0.997,0.475,0.124,0.199,0.199,0.003,0.46,0.581,0.324,0.351,0.365,0.0,0.681,0.017,22.0,0.0,2.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,34.0,10.0,261.0,0.387,5.1,1.0,0.484,0.355,0.097,0.065,0.0,0.387,0.533,0.273,0.0,0.5,,0.417,0.0,0.0,,0.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,23.0,0.0,157.0,0.333,9.2,1.0,0.267,0.267,0.2,0.267,0.0,0.333,1.0,0.0,0.0,0.25,,0.6,0.0,0.0,,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,5.0,0.0,24.0,0.167,7.6,1.0,0.5,0.167,0.0,0.333,0.0,0.167,0.333,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,
