"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2002-03,21,PHO,NBA,SF,72,0,1147,.373,.432,.315,.453,.686,.493,.321,.505,84,93,90,96,90,95,106,278,-13.9,-19.6,
2003-04,22,PHO,NBA,SF,78,13,1828,.417,.417,.417,.521,.820,.570,.308,.500,95,91,120,111,109,110,102,267,35.8,43.9,
2004-05,23,2TM,NBA,SG,84,1,1798,.404,.429,.373,.485,.786,.555,.471,.434,90,91,105,101,104,105,145,221,2.4,25.6,
2004-05,23,PHO,NBA,SF,40,0,768,.414,.456,.382,.522,.774,.575,.395,.567,93,97,107,108,102,109,122,289,12.5,16.9,
2004-05,23,NOH,NBA,SG,44,1,1030,.398,.417,.364,.462,.792,.543,.518,.351,89,89,102,96,105,103,160,179,-10.1,8.7,
2005-06,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2006-07,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2007-08,26,MEM,NBA,SG,53,0,547,.339,.535,.222,.409,.765,.437,.148,.626,74,110,61,82,101,81,48,282,-20.4,-25.3,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,287,14,5320,.393,.433,.352,.480,.769,.533,.351,.491,88,93,100,100,102,102,112,256,3.9,24.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),,190,13,3743,.399,.429,.371,.495,.759,.541,.329,.514,90,93,106,104,101,104,107,275,34.4,41.2,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,53,0,547,.339,.535,.222,.409,.765,.437,.148,.626,74,110,61,82,101,81,48,282,-20.4,-25.3,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,44,1,1030,.398,.417,.364,.462,.792,.543,.518,.351,89,89,102,96,105,103,160,179,-10.1,8.7,
