Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2004-05,23,ATL,NBA,PG,62.0,5.0,809.0,8.9,0.484,0.045,0.338,2.6,9.9,6.0,20.0,2.5,0.7,20.3,15.8,-0.2,0.4,0.2,0.009,-5.4,-0.1,-5.5,-0.7,
2005-06,24,ATL,NBA,PG,73.0,66.0,978.0,8.4,0.467,0.038,0.125,3.7,8.2,5.9,12.2,1.3,0.5,7.6,14.0,0.6,0.0,0.7,0.034,-3.7,-0.9,-4.6,-0.6,
2006-07,25,ATL,NBA,PG,53.0,18.0,539.0,9.6,0.496,0.112,0.245,3.3,8.1,5.7,14.1,2.4,0.6,16.4,16.2,0.0,0.4,0.3,0.03,-3.7,-0.1,-3.8,-0.2,
2007-08,26,MIL,NBA,PG,75.0,20.0,1437.0,8.8,0.487,0.283,0.31,3.0,6.8,4.8,16.9,1.6,0.4,14.9,15.8,0.4,0.2,0.5,0.018,-3.3,-1.1,-4.4,-0.9,
2008-09,27,PHI,NBA,SG,71.0,0.0,861.0,7.6,0.465,0.548,0.207,2.6,8.0,5.3,7.4,2.2,0.7,9.2,13.2,0.2,0.8,0.9,0.052,-2.8,0.6,-2.2,0.0,
2009-10,28,2TM,NBA,SG,44.0,0.0,326.0,11.0,0.527,0.422,0.145,2.1,10.3,6.1,12.4,3.1,0.5,11.1,13.8,0.2,0.3,0.6,0.086,-2.3,1.6,-0.7,0.1,
2009-10,28,PHI,NBA,SG,26.0,0.0,236.0,12.6,0.603,0.436,0.127,2.5,10.7,6.5,10.8,2.2,0.7,7.9,12.2,0.4,0.1,0.6,0.117,-0.3,0.6,0.3,0.1,
2009-10,28,MIL,NBA,SG,18.0,0.0,90.0,6.8,0.381,0.393,0.179,1.2,9.3,5.0,16.8,5.2,0.0,16.6,18.2,-0.2,0.2,0.0,0.003,-7.4,4.2,-3.3,0.0,
2010-11,29,OKC,NBA,SG,25.0,0.0,155.0,8.2,0.527,0.421,0.053,1.6,10.2,6.0,6.8,2.0,0.5,11.4,12.8,0.1,0.1,0.2,0.06,-3.2,0.8,-2.3,0.0,
2011-12,30,OKC,NBA,SG,34.0,0.0,354.0,4.7,0.464,0.726,0.11,0.3,6.9,3.9,4.1,2.0,0.0,10.5,10.9,-0.1,0.3,0.2,0.025,-4.3,0.5,-3.7,-0.1,
2012-13,31,PHI,NBA,SG,53.0,5.0,698.0,8.1,0.563,0.611,0.111,2.5,6.8,4.6,6.7,1.7,0.3,11.7,11.3,0.5,0.5,1.0,0.066,-3.4,0.6,-2.8,-0.1,
2013-14,32,OKC,NBA,SG,2.0,0.0,5.0,-16.5,0.0,0.5,0.0,0.0,21.5,11.3,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,-0.362,-21.7,-6.1,-27.7,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,492.0,114.0,6162.0,8.4,0.489,0.293,0.218,2.7,8.0,5.3,12.6,2.0,0.5,13.2,14.2,1.6,2.9,4.5,0.035,-3.6,-0.1,-3.8,-2.7,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,19.0,1027.0,8.4,0.489,0.293,0.218,2.7,8.0,5.3,12.6,2.0,0.5,13.2,14.2,0.3,0.5,0.8,0.035,-3.6,-0.1,-3.8,-0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),,188.0,89.0,2326.0,8.9,0.479,0.058,0.223,3.2,8.8,5.9,15.3,2.0,0.6,14.4,15.1,0.4,0.8,1.2,0.024,-4.3,-0.4,-4.7,-1.6,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,150.0,5.0,1795.0,8.5,0.517,0.555,0.162,2.6,7.9,5.2,7.5,2.0,0.5,9.9,12.3,1.1,1.4,2.5,0.066,-2.7,0.6,-2.1,0.0,
OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),,61.0,0.0,514.0,5.5,0.477,0.619,0.088,0.7,8.1,4.6,4.8,2.0,0.1,10.7,11.6,-0.1,0.4,0.3,0.032,-4.1,0.5,-3.5,-0.2,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,93.0,20.0,1527.0,8.7,0.48,0.291,0.3,2.9,7.0,4.8,16.9,1.9,0.4,15.0,15.9,0.2,0.4,0.5,0.017,-3.6,-0.8,-4.3,-0.9,
