"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2004-05,20,BOS,NBA,PF,71,1,1051,.528,4.4,.992,.542,.333,.087,.030,.008,.533,.585,.504,.406,.273,.000,.585,,.136,49,.333,.000,1,0,
2005-06,21,BOS,NBA,PF,59,7,1062,.499,4.2,.989,.565,.306,.095,.024,.011,.504,.598,.397,.306,.444,.000,.492,,.079,29,.000,,0,0,
2006-07,22,BOS,NBA,C,69,60,2319,.514,5.5,.999,.422,.404,.120,.053,.001,.514,.645,.452,.321,.383,.000,.521,,.076,65,.000,,0,0,
2007-08,23,MIN,NBA,C,82,82,2919,.500,6.9,.997,.350,.356,.206,.084,.003,.502,.669,.456,.380,.298,.000,.510,,.076,97,.000,,3,0,
2008-09,24,MIN,NBA,C,50,50,1836,.497,7.1,.996,.381,.281,.210,.124,.004,.499,.628,.445,.410,.380,.000,.522,,.042,37,.000,,2,0,
2009-10,25,MIN,NBA,C,76,76,2463,.498,7.8,.996,.313,.299,.288,.097,.004,.500,.679,.503,.358,.330,.000,.448,,.038,39,.000,,2,0,
2010-11,26,UTA,NBA,C,82,82,2940,.496,8.1,1.000,.315,.332,.190,.163,.000,.496,.655,.441,.394,.419,,.584,,.058,74,,,0,0,
2011-12,27,UTA,NBA,C,61,61,2075,.492,9.2,.996,.218,.364,.216,.199,.004,.493,.680,.491,.394,.402,.250,.522,1.000,.053,52,.000,,0,0,
2012-13,28,UTA,NBA,C,78,78,2578,.494,10.2,.986,.241,.291,.169,.285,.014,.500,.718,.464,.416,.401,.118,.547,1.000,.059,65,.176,.000,3,0,
2013-14,29,CHA,NBA,C,73,73,2553,.509,9.0,.989,.289,.305,.192,.203,.011,.512,.681,.514,.428,.348,.200,.611,1.000,.021,28,.067,.000,4,0,"MVP-8,NBA3"
