"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Delonte West,,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,,
Martell Webster,89.7,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0
Monte Morris,88.2,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,
Eddie Miles,86.3,6.0,5.9,4.0,3.7,2.4,2.0,1.2,0.0,-0.9,
Anthony Parker,85.5,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0.0,
Ja Morant,85.3,6.7,6.0,3.8,3.5,3.2,0.8,,,,
Larry Drew,84.6,7.2,4.6,3.6,3.0,2.8,1.4,1.2,0.5,0.1,0.0
Darwin Cook,84.3,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,,
Willie Anderson,84.2,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,
Frank Selvy,84.0,5.9,5.5,4.1,3.6,2.4,2.3,0.6,0.0,-0.6,
Ron Williams,83.9,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0.0,,
