Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,22,DAL,NBA,C,5.0,0.0,133.0,17.0,36.0,0.472,0.0,1.0,0.0,17.0,35.0,0.486,0.472,24.0,25.0,0.96,20.0,14.0,34.0,2.0,3.0,3.0,3.0,12.0,58.0,0.0,
2008-09,23,DAL,NBA,C,10.0,0.0,192.0,33.0,60.0,0.55,0.0,0.0,,33.0,60.0,0.55,0.55,28.0,31.0,0.903,13.0,28.0,41.0,7.0,7.0,4.0,4.0,22.0,94.0,0.0,
2009-10,24,ORL,NBA,PF,7.0,0.0,42.0,7.0,13.0,0.538,0.0,0.0,,7.0,13.0,0.538,0.538,5.0,6.0,0.833,2.0,6.0,8.0,1.0,0.0,0.0,1.0,2.0,19.0,0.0,
2010-11,25,ORL,NBA,PF,6.0,6.0,139.0,16.0,38.0,0.421,0.0,0.0,,16.0,38.0,0.421,0.421,12.0,13.0,0.923,12.0,13.0,25.0,2.0,3.0,5.0,7.0,7.0,44.0,0.0,
2011-12,26,BOS,NBA,PF,20.0,20.0,608.0,81.0,175.0,0.463,0.0,0.0,,81.0,175.0,0.463,0.463,59.0,64.0,0.922,26.0,79.0,105.0,15.0,14.0,10.0,15.0,50.0,221.0,0.0,
2012-13,27,BOS,NBA,PF,6.0,5.0,204.0,14.0,29.0,0.483,0.0,0.0,,14.0,29.0,0.483,0.483,12.0,15.0,0.8,8.0,32.0,40.0,7.0,2.0,1.0,5.0,17.0,40.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,29,BOS,NBA,PF,4.0,4.0,86.0,7.0,20.0,0.35,0.0,0.0,,7.0,20.0,0.35,0.35,6.0,10.0,0.6,3.0,5.0,8.0,10.0,1.0,3.0,3.0,4.0,20.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,31,LAC,NBA,PF,1.0,0.0,4.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,59.0,35.0,1408.0,176.0,374.0,0.471,0.0,1.0,0.0,176.0,373.0,0.472,0.471,146.0,164.0,0.89,85.0,177.0,262.0,44.0,31.0,26.0,38.0,114.0,498.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,49.0,1957.0,245.0,520.0,0.471,0.0,1.0,0.0,245.0,518.0,0.472,0.471,203.0,228.0,0.89,118.0,246.0,364.0,61.0,43.0,36.0,53.0,158.0,692.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,30.0,29.0,898.0,102.0,224.0,0.455,0.0,0.0,,102.0,224.0,0.455,0.455,77.0,89.0,0.865,37.0,116.0,153.0,32.0,17.0,14.0,23.0,71.0,281.0,0.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,15.0,0.0,325.0,50.0,96.0,0.521,0.0,1.0,0.0,50.0,95.0,0.526,0.521,52.0,56.0,0.929,33.0,42.0,75.0,9.0,10.0,7.0,7.0,34.0,152.0,0.0,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,13.0,6.0,181.0,23.0,51.0,0.451,0.0,0.0,,23.0,51.0,0.451,0.451,17.0,19.0,0.895,14.0,19.0,33.0,3.0,3.0,5.0,8.0,9.0,63.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,1.0,0.0,4.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,
