"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2005-06,21,MIL,NBA,PF,5.0,5.0,172.0,0.435,0.435,,0.435,0.375,0.434,0.174,0.0,96.0,91.0,,89.0,50.0,81.0,52.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,28,GSW,NBA,C,12.0,12.0,327.0,0.582,0.582,,0.582,0.348,0.558,0.343,0.0,129.0,121.0,,117.0,46.0,104.0,127.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,30,GSW,NBA,C,19.0,18.0,440.0,0.56,0.568,0.0,0.56,0.385,0.551,0.173,0.013,125.0,117.0,0.0,113.0,51.0,103.0,63.0,5.0,
2015-16,31,GSW,NBA,C,22.0,22.0,365.0,0.623,0.64,0.0,0.623,0.357,0.607,0.182,0.026,138.0,130.0,0.0,124.0,47.0,112.0,66.0,9.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,34,GSW,NBA,C,19.0,6.0,179.0,0.649,0.649,,0.649,0.8,0.663,0.135,0.0,141.0,125.0,,124.0,104.0,119.0,52.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,77.0,63.0,1483.0,0.573,0.579,0.0,0.573,0.397,0.563,0.209,0.01,126.0,118.0,0.0,114.0,53.0,104.0,75.0,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,
GSW (4 Yrs),GSW (4 Yrs),GSW (4 Yrs),GSW (4 Yrs),,72.0,58.0,1311.0,0.598,0.605,0.0,0.598,0.4,0.585,0.215,0.012,132.0,123.0,0.0,119.0,53.0,108.0,79.0,4.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,172.0,0.435,0.435,,0.435,0.375,0.434,0.174,0.0,96.0,91.0,,89.0,50.0,81.0,52.0,0.0,
