"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2006-07,19.0,MIL,NBA,37:15,7.0,16.0,5.0,8.0,5.0,9.0,5.0,7.0,4.0,7.0,9.0,4.0,3.0,2.0,4.0,6.0,22.0,16.4
2009-10,22.0,MIL,NBA,43:02,10.0,18.0,4.0,7.0,8.0,15.0,6.0,6.0,7.0,10.0,16.0,6.0,4.0,2.0,3.0,6.0,25.0,22.1
2010-11,23.0,MIL,NBA,40:48,10.0,20.0,3.0,6.0,10.0,18.0,7.0,8.0,6.0,14.0,17.0,6.0,4.0,2.0,4.0,6.0,25.0,24.4
2011-12,24.0,MIL,NBA,44:06,14.0,23.0,4.0,5.0,12.0,19.0,8.0,12.0,13.0,14.0,25.0,4.0,3.0,2.0,4.0,6.0,32.0,30.6
2012-13,25.0,MIL,NBA,44:05,12.0,22.0,6.0,8.0,12.0,18.0,8.0,8.0,8.0,12.0,18.0,4.0,4.0,2.0,5.0,6.0,30.0,30.6
2013-14,26.0,MIL,NBA,49:25,13.0,22.0,3.0,6.0,11.0,17.0,10.0,10.0,7.0,11.0,13.0,6.0,3.0,1.0,5.0,6.0,31.0,29.6
2014-15,27.0,MIL,NBA,42:04,12.0,19.0,5.0,9.0,7.0,13.0,6.0,8.0,5.0,9.0,13.0,4.0,3.0,3.0,3.0,6.0,34.0,33.0
2015-16,28.0,TOT,NBA,53:56,10.0,18.0,4.0,10.0,8.0,13.0,7.0,9.0,7.0,12.0,13.0,4.0,3.0,3.0,4.0,6.0,23.0,23.2
2015-16,28.0,DET,NBA,53:56,9.0,18.0,4.0,10.0,7.0,13.0,7.0,9.0,5.0,12.0,13.0,4.0,3.0,3.0,4.0,5.0,23.0,19.2
2015-16,28.0,ORL,NBA,37:00,10.0,14.0,2.0,4.0,8.0,11.0,6.0,7.0,7.0,7.0,12.0,2.0,2.0,3.0,2.0,6.0,22.0,23.2
