Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2006-07,19,UTA,NBA,SG,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,12.0,24.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,
2007-08,20,UTA,NBA,SG,7.0,0.0,26.0,6.9,19.4,0.357,2.8,11.1,0.25,4.2,8.3,0.5,0.429,0.0,0.0,,1.4,5.5,6.9,0.0,2.8,0.0,2.8,5.5,16.6,
2008-09,21,UTA,NBA,SG,5.0,0.0,58.0,3.7,12.4,0.3,1.2,5.0,0.25,2.5,7.4,0.333,0.35,1.9,2.5,0.75,1.2,3.1,4.3,0.6,1.2,0.6,1.9,5.0,10.6,
2009-10,22,UTA,NBA,SF,10.0,10.0,337.0,5.0,11.3,0.443,1.6,4.9,0.326,3.4,6.4,0.533,0.514,3.7,4.2,0.897,0.5,2.1,2.7,3.0,0.6,0.6,2.0,5.1,15.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,28,IND,NBA,SF,7.0,0.0,92.0,3.9,14.9,0.263,0.8,7.8,0.1,3.1,7.0,0.444,0.289,0.8,1.2,0.667,1.6,7.8,9.4,1.6,0.4,0.4,1.2,2.7,9.4,
2016-17,29,IND,NBA,SF,4.0,2.0,82.0,4.8,10.5,0.458,2.2,7.0,0.313,2.6,3.5,0.75,0.563,0.9,0.9,1.0,1.8,1.8,3.5,0.4,0.9,0.4,0.9,5.3,12.7,
2017-18,30,TOR,NBA,SF,10.0,1.0,227.0,5.1,11.3,0.451,3.0,7.1,0.422,2.1,4.1,0.5,0.585,2.1,2.5,0.813,1.0,2.9,3.8,1.3,1.1,0.5,1.4,3.3,15.2,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,44.0,13.0,825.0,4.8,11.9,0.407,2.0,6.2,0.315,2.9,5.7,0.508,0.489,2.4,2.9,0.848,1.0,3.1,4.1,1.8,0.9,0.5,1.7,4.4,14.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,23.0,10.0,424.0,4.9,11.9,0.414,1.6,5.3,0.306,3.3,6.6,0.5,0.482,3.3,3.8,0.867,0.7,2.5,3.1,2.5,0.8,0.6,2.0,5.1,14.8,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,11.0,2.0,174.0,4.3,12.8,0.339,1.4,7.4,0.194,2.9,5.4,0.538,0.395,0.8,1.0,0.8,1.7,5.0,6.6,1.0,0.6,0.4,1.0,3.9,11.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,10.0,1.0,227.0,5.1,11.3,0.451,3.0,7.1,0.422,2.1,4.1,0.5,0.585,2.1,2.5,0.813,1.0,2.9,3.8,1.3,1.1,0.5,1.4,3.3,15.2,
