Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2005-06,23,LAL,NBA,C,3.0,0.0,25.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,5.0,6.0,0.833,4.0,3.0,7.0,0.0,0.0,1.0,2.0,5.0,11.0,0.0,
2006-07,24,LAL,NBA,C,4.0,0.0,48.0,5.0,14.0,0.357,0.0,0.0,5.0,14.0,0.357,0.357,7.0,10.0,0.7,6.0,6.0,12.0,1.0,2.0,1.0,1.0,8.0,17.0,0.0,
2007-08,25,LAL,NBA,C,19.0,0.0,187.0,14.0,36.0,0.389,0.0,0.0,14.0,36.0,0.389,0.389,10.0,17.0,0.588,6.0,21.0,27.0,5.0,2.0,18.0,9.0,41.0,38.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,28,NYK,NBA,C,4.0,4.0,75.0,8.0,12.0,0.667,0.0,0.0,8.0,12.0,0.667,0.667,7.0,10.0,0.7,4.0,7.0,11.0,4.0,1.0,6.0,3.0,4.0,23.0,0.0,
2011-12,29,MIA,NBA,C,12.0,7.0,121.0,10.0,18.0,0.556,0.0,0.0,10.0,18.0,0.556,0.556,3.0,11.0,0.273,11.0,20.0,31.0,1.0,1.0,8.0,6.0,23.0,23.0,0.0,
2012-13,30,LAC,NBA,C,5.0,0.0,59.0,7.0,10.0,0.7,0.0,0.0,7.0,10.0,0.7,0.7,2.0,4.0,0.5,4.0,4.0,8.0,0.0,1.0,3.0,2.0,14.0,16.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,47.0,11.0,515.0,47.0,95.0,0.495,0.0,0.0,47.0,95.0,0.495,0.495,34.0,58.0,0.586,35.0,61.0,96.0,11.0,7.0,37.0,23.0,95.0,128.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,19.0,899.0,82.0,166.0,0.495,0.0,0.0,82.0,166.0,0.495,0.495,59.0,101.0,0.586,61.0,106.0,167.0,19.0,12.0,65.0,40.0,166.0,223.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),,26.0,0.0,260.0,22.0,55.0,0.4,0.0,0.0,22.0,55.0,0.4,0.4,22.0,33.0,0.667,16.0,30.0,46.0,6.0,4.0,20.0,12.0,54.0,66.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,12.0,7.0,121.0,10.0,18.0,0.556,0.0,0.0,10.0,18.0,0.556,0.556,3.0,11.0,0.273,11.0,20.0,31.0,1.0,1.0,8.0,6.0,23.0,23.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,5.0,0.0,59.0,7.0,10.0,0.7,0.0,0.0,7.0,10.0,0.7,0.7,2.0,4.0,0.5,4.0,4.0,8.0,0.0,1.0,3.0,2.0,14.0,16.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,4.0,4.0,75.0,8.0,12.0,0.667,0.0,0.0,8.0,12.0,0.667,0.667,7.0,10.0,0.7,4.0,7.0,11.0,4.0,1.0,6.0,3.0,4.0,23.0,0.0,
