"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2005-06,20,LAL,NBA,SG,16,0,73,.158,.190,.118,.184,.750,.241,.211,.447,35,40,33,38,101,45,63,221,-23.2,-24.5,
2006-07,21,LAC,NBA,SF,1,0,1,.000,,.000,.000,,.000,.000,1.000,0,,0,0,,0,0,471,-1.0,-1.1,
2007-08,22,2TM,NBA,SG,29,0,154,.279,.371,.154,.311,.667,.347,.197,.426,61,77,43,63,88,64,64,192,-22.7,-25.7,
2007-08,22,DEN,NBA,SG,21,0,90,.263,.391,.067,.276,.750,.325,.211,.395,58,81,18,56,99,60,69,178,-16.8,-17.9,
2007-08,22,POR,NBA,SG,8,0,64,.304,.333,.273,.370,.500,.384,.174,.478,67,69,75,74,66,71,57,215,-5.9,-7.8,
2008-09,23,HOU,NBA,SG,63,11,1225,.447,.474,.390,.510,.752,.541,.229,.320,98,98,106,102,98,99,75,143,10.2,-3.5,
2009-10,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2010-11,25,BOS,NBA,SG,58,2,553,.421,.533,.269,.478,.842,.524,.239,.421,92,109,75,96,110,97,80,190,-6.5,-6.3,
2011-12,26,ORL,NBA,SG,33,1,469,.452,.483,.359,.497,.704,.537,.344,.248,101,101,103,102,94,102,125,110,3.0,3.4,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,200,14,2475,.420,.469,.325,.475,.751,.512,.247,.338,92,97,90,96,98,95,83,152,-40.2,-57.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,63,11,1225,.447,.474,.390,.510,.752,.541,.229,.320,98,98,106,102,98,99,75,143,10.2,-3.5,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,58,2,553,.421,.533,.269,.478,.842,.524,.239,.421,92,109,75,96,110,97,80,190,-6.5,-6.3,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,33,1,469,.452,.483,.359,.497,.704,.537,.344,.248,101,101,103,102,94,102,125,110,3.0,3.4,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,21,0,90,.263,.391,.067,.276,.750,.325,.211,.395,58,81,18,56,99,60,69,178,-16.8,-17.9,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,16,0,73,.158,.190,.118,.184,.750,.241,.211,.447,35,40,33,38,101,45,63,221,-23.2,-24.5,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,8,0,64,.304,.333,.273,.370,.500,.384,.174,.478,67,69,75,74,66,71,57,215,-5.9,-7.8,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,1,0,1,.000,,.000,.000,,.000,.000,1.000,0,,0,0,,0,0,471,-1.0,-1.1,
