Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,23,MIN,NBA,PF,82.0,5.0,1537.0,246.0,463.0,0.531,0.0,6.0,0.0,246.0,457.0,0.538,0.531,116.0,186.0,0.624,149.0,267.0,416.0,49.0,51.0,18.0,74.0,223.0,608.0,0.0,ROY-11
2007-08,24,MIN,NBA,PF,77.0,11.0,1547.0,297.0,528.0,0.563,0.0,9.0,0.0,297.0,519.0,0.572,0.563,133.0,200.0,0.665,123.0,230.0,353.0,60.0,36.0,17.0,89.0,217.0,727.0,0.0,
2008-09,25,MIN,NBA,PF,74.0,31.0,1460.0,289.0,514.0,0.562,0.0,1.0,0.0,289.0,513.0,0.563,0.562,168.0,248.0,0.677,98.0,186.0,284.0,79.0,31.0,19.0,105.0,184.0,746.0,0.0,
2009-10,26,LAC,NBA,PF,75.0,2.0,1232.0,226.0,397.0,0.569,1.0,5.0,0.2,225.0,392.0,0.574,0.571,132.0,208.0,0.635,97.0,190.0,287.0,84.0,33.0,25.0,88.0,194.0,585.0,0.0,
2010-11,27,LAC,NBA,PF,48.0,0.0,586.0,104.0,188.0,0.553,0.0,5.0,0.0,104.0,183.0,0.568,0.553,50.0,68.0,0.735,43.0,74.0,117.0,31.0,16.0,7.0,33.0,84.0,258.0,0.0,
2011-12,28,POR,NBA,PF,47.0,0.0,464.0,59.0,117.0,0.504,0.0,1.0,0.0,59.0,116.0,0.509,0.504,38.0,53.0,0.717,33.0,77.0,110.0,19.0,16.0,5.0,24.0,55.0,156.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,403.0,49.0,6826.0,1221.0,2207.0,0.553,1.0,27.0,0.037,1220.0,2180.0,0.56,0.553,637.0,963.0,0.661,543.0,1024.0,1567.0,322.0,183.0,91.0,413.0,957.0,3080.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,10.0,1389.0,248.0,449.0,0.553,0.0,5.0,0.037,248.0,444.0,0.56,0.553,130.0,196.0,0.661,110.0,208.0,319.0,66.0,37.0,19.0,84.0,195.0,627.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),,233.0,47.0,4544.0,832.0,1505.0,0.553,0.0,16.0,0.0,832.0,1489.0,0.559,0.553,417.0,634.0,0.658,370.0,683.0,1053.0,188.0,118.0,54.0,268.0,624.0,2081.0,0.0,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,123.0,2.0,1818.0,330.0,585.0,0.564,1.0,10.0,0.1,329.0,575.0,0.572,0.565,182.0,276.0,0.659,140.0,264.0,404.0,115.0,49.0,32.0,121.0,278.0,843.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,47.0,0.0,464.0,59.0,117.0,0.504,0.0,1.0,0.0,59.0,116.0,0.509,0.504,38.0,53.0,0.717,33.0,77.0,110.0,19.0,16.0,5.0,24.0,55.0,156.0,0.0,
