Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,23,HOU,NBA,PG,51,0,608,93,225,.413,36,109,.330,57,116,.491,.493,42,49,.857,13,43,56,87,13,5,44,69,264,0,
2008-09,24,HOU,NBA,PG,80,35,1998,316,783,.404,113,309,.366,203,474,.428,.476,149,172,.866,33,124,157,238,46,8,125,152,894,0,
2009-10,25,HOU,NBA,PG,82,82,2919,575,1331,.432,209,525,.398,366,806,.454,.511,245,298,.822,54,161,215,434,69,14,232,199,1604,0,MIP-1
2010-11,26,2TM,NBA,PG,59,12,1284,220,587,.375,70,236,.297,150,351,.427,.434,124,140,.886,20,58,78,233,34,3,99,115,634,0,
2010-11,26,HOU,NBA,PG,34,7,811,134,387,.346,48,169,.284,86,218,.394,.408,78,83,.940,11,40,51,129,21,2,55,69,394,0,
2010-11,26,PHO,NBA,PG,25,5,473,86,200,.430,22,67,.328,64,133,.481,.485,46,57,.807,9,18,27,104,13,1,44,46,240,0,
2011-12,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2012-13,28,2TM,NBA,PG,53,20,997,143,316,.453,50,134,.373,93,182,.511,.532,40,52,.769,13,67,80,114,30,10,67,94,376,0,
2012-13,28,SAC,NBA,PG,46,20,959,139,303,.459,48,127,.378,91,176,.517,.538,40,52,.769,12,66,78,108,29,7,63,89,366,0,
2012-13,28,HOU,NBA,PG,7,0,38,4,13,.308,2,7,.286,2,6,.333,.385,0,0,,1,1,2,6,1,3,4,5,10,0,
2013-14,29,2TM,NBA,PG,72,12,1557,233,581,.401,96,248,.387,137,333,.411,.484,83,95,.874,43,97,140,233,52,13,117,146,645,0,
2013-14,29,HOU,NBA,PG,43,0,716,104,263,.395,54,132,.409,50,131,.382,.498,37,44,.841,23,39,62,83,25,6,51,76,299,0,
2013-14,29,DEN,NBA,PG,29,12,841,129,318,.406,42,116,.362,87,202,.431,.472,46,51,.902,20,58,78,150,27,7,66,70,346,0,
2014-15,30,CHI,NBA,PG,82,21,1885,344,817,.421,121,313,.387,223,504,.442,.495,145,174,.833,32,134,166,261,54,15,157,189,954,0,6MOY-11
2015-16,31,CHI,NBA,PG,69,0,1108,188,469,.401,66,185,.357,122,284,.430,.471,49,64,.766,21,80,101,180,30,10,82,132,491,0,
2016-17,32,IND,NBA,PG,65,0,894,121,300,.403,48,128,.375,73,172,.424,.483,32,40,.800,18,51,69,125,25,9,66,93,322,0,
2017-18,33,MIN,NBA,PG,32,1,189,28,69,.406,11,31,.355,17,38,.447,.486,8,11,.727,7,10,17,20,6,0,11,28,75,0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,645,183,13439,2261,5478,.413,820,2218,.370,1441,3260,.442,.488,917,1095,.837,254,825,1079,1925,359,87,1000,1217,6259,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,23,1709,287,696,.413,104,282,.370,183,414,.442,.488,117,139,.837,32,105,137,245,46,11,127,155,796,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (6 Yrs),HOU (6 Yrs),HOU (6 Yrs),HOU (6 Yrs),,297,124,7090,1226,3002,.408,462,1251,.369,764,1751,.436,.485,551,646,.853,135,408,543,977,175,38,511,570,3465,0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,151,21,2993,532,1286,.414,187,498,.376,345,788,.438,.486,194,238,.815,53,214,267,441,84,25,239,321,1445,0,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,65,0,894,121,300,.403,48,128,.375,73,172,.424,.483,32,40,.800,18,51,69,125,25,9,66,93,322,0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,46,20,959,139,303,.459,48,127,.378,91,176,.517,.538,40,52,.769,12,66,78,108,29,7,63,89,366,0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,32,1,189,28,69,.406,11,31,.355,17,38,.447,.486,8,11,.727,7,10,17,20,6,0,11,28,75,0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,29,12,841,129,318,.406,42,116,.362,87,202,.431,.472,46,51,.902,20,58,78,150,27,7,66,70,346,0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,25,5,473,86,200,.430,22,67,.328,64,133,.481,.485,46,57,.807,9,18,27,104,13,1,44,46,240,0,
