"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2007-08,24,HOU,NBA,PF,6.0,0.0,106.0,0.423,0.423,,0.423,0.75,0.515,0.615,0.0,93.0,87.0,,85.0,99.0,95.0,201.0,0.0,
2008-09,25,HOU,NBA,PF,13.0,0.0,240.0,0.557,0.574,0.0,0.557,0.576,0.574,0.471,0.029,121.0,118.0,0.0,111.0,75.0,105.0,154.0,13.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,NOH,NBA,PF,6.0,6.0,213.0,0.456,0.456,,0.456,0.917,0.567,0.529,0.0,99.0,94.0,,91.0,120.0,105.0,176.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,29,GSW,NBA,PF,12.0,3.0,246.0,0.52,0.52,,0.52,0.731,0.578,0.52,0.0,115.0,108.0,,105.0,97.0,108.0,192.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,37.0,9.0,805.0,0.504,0.508,0.0,0.504,0.745,0.567,0.519,0.008,110.0,105.0,0.0,101.0,98.0,105.0,179.0,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,19.0,0.0,346.0,0.521,0.532,0.0,0.521,0.633,0.557,0.51,0.021,114.0,110.0,0.0,104.0,83.0,103.0,167.0,9.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,12.0,3.0,246.0,0.52,0.52,,0.52,0.731,0.578,0.52,0.0,115.0,108.0,,105.0,97.0,108.0,192.0,0.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,6.0,6.0,213.0,0.456,0.456,,0.456,0.917,0.567,0.529,0.0,99.0,94.0,,91.0,120.0,105.0,176.0,0.0,
