"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2007-08,22,WAS,NBA,SG,4.0,0.0,17.0,0.111,15.6,0.778,0.222,0.0,0.222,0.333,0.222,0.143,0.5,,0.0,0.0,0.0,0.0,,0.111,1.0,0.5,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,26,LAC,NBA,SG,11.0,0.0,200.0,0.433,18.8,0.507,0.09,0.045,0.164,0.209,0.493,0.353,0.667,0.333,0.364,0.214,0.515,0.083,0.765,0.0,0.0,0.485,0.563,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,32,GSW,NBA,SG,20.0,2.0,205.0,0.302,23.6,0.113,0.019,0.057,0.019,0.019,0.887,0.333,1.0,0.333,0.0,0.0,0.298,1.0,0.786,0.0,0.0,0.234,0.182,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,35.0,2.0,422.0,0.357,19.4,0.364,0.07,0.047,0.109,0.14,0.636,0.319,0.667,0.333,0.286,0.167,0.378,0.2,0.774,0.008,1.0,0.341,0.393,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,989.0,0.357,19.4,0.364,0.07,0.047,0.109,0.14,0.636,0.319,0.667,0.333,0.286,0.167,0.378,0.2,0.774,0.008,2.0,0.341,0.393,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,20.0,2.0,205.0,0.302,23.6,0.113,0.019,0.057,0.019,0.019,0.887,0.333,1.0,0.333,0.0,0.0,0.298,1.0,0.786,0.0,0.0,0.234,0.182,0.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,11.0,0.0,200.0,0.433,18.8,0.507,0.09,0.045,0.164,0.209,0.493,0.353,0.667,0.333,0.364,0.214,0.515,0.083,0.765,0.0,0.0,0.485,0.563,0.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,4.0,0.0,17.0,0.111,15.6,0.778,0.222,0.0,0.222,0.333,0.222,0.143,0.5,,0.0,0.0,0.0,0.0,,0.111,1.0,0.5,0.0,0.0,0.0,
