Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2010-11,24,CHI,NBA,C,15.0,0.0,148.0,4.3,0.431,0.0,0.769,7.9,17.3,12.5,1.0,0.7,4.2,28.7,7.6,-0.1,0.2,0.1,0.034,-6.7,0.9,-5.8,-0.1,
2011-12,25,CHI,NBA,C,6.0,3.0,128.0,8.6,0.466,0.0,1.214,7.0,16.6,11.9,9.6,0.4,5.8,27.1,10.7,-0.1,0.3,0.1,0.055,-3.9,3.7,-0.2,0.1,
2012-13,26,HOU,NBA,C,6.0,6.0,208.0,16.9,0.62,0.0,1.205,11.1,25.1,18.0,2.4,0.7,4.2,16.7,15.2,0.4,0.1,0.5,0.123,0.2,0.8,1.0,0.2,
2013-14,27,HOU,NBA,C,6.0,4.0,163.0,9.1,0.51,0.0,0.091,13.8,19.4,16.5,3.5,1.0,2.0,24.3,11.8,0.0,0.1,0.1,0.026,-3.7,-0.3,-4.0,-0.1,
2014-15,28,NOP,NBA,C,4.0,4.0,79.0,9.4,0.306,0.0,0.7,17.3,23.4,20.4,10.2,3.3,0.0,27.7,10.5,0.0,0.0,0.0,-0.001,-2.4,-0.2,-2.6,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,37.0,17.0,726.0,10.3,0.521,0.0,0.771,11.0,20.5,15.7,4.5,1.0,3.5,22.8,11.6,0.1,0.7,0.9,0.058,-3.1,1.0,-2.1,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,38.0,1609.0,10.3,0.521,0.0,0.771,11.0,20.5,15.7,4.5,1.0,3.5,22.8,11.6,0.3,1.6,1.9,0.058,-3.1,1.0,-2.1,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,21.0,3.0,276.0,6.3,0.45,0.0,1.0,7.5,17.0,12.2,5.0,0.6,5.0,27.8,9.1,-0.2,0.5,0.3,0.044,-5.4,2.2,-3.2,-0.1,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,12.0,10.0,371.0,13.4,0.58,0.0,0.694,12.3,22.6,17.3,2.8,0.8,3.3,19.7,13.7,0.4,0.2,0.6,0.081,-1.5,0.3,-1.2,0.1,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,4.0,4.0,79.0,9.4,0.306,0.0,0.7,17.3,23.4,20.4,10.2,3.3,0.0,27.7,10.5,0.0,0.0,0.0,-0.001,-2.4,-0.2,-2.6,0.0,
