"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Ãmer AÅÄ±k,,5.5,5.0,2.7,2.6,2.4,1.7,1.0,-0.1
Kevin Kunnert,87.9,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2
Felton Spencer,86.4,5.6,4.7,2.4,2.0,2.0,1.3,1.1,0.9
Dennis Awtrey,85.9,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0
Randy Breuer,85.7,5.1,4.5,3.0,2.4,2.0,1.0,0.9,0.3
Benoit Benjamin,85.1,5.4,5.1,4.0,3.0,2.2,2.0,1.1,0.9
Otto Moore,85.1,5.0,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Bismack Biyombo,83.2,5.9,4.0,3.2,2.9,2.9,2.0,1.4,0.6
John Gianelli,83.2,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4
Blair Rasmussen,82.6,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1
Daniel Theis,82.3,6.5,4.3,3.5,3.5,2.5,1.9,1.0,0.1
