"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Kosta Koufos,,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.7,0.2,0.0
Richaun Holmes,85.2,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,
Marvin Webster,85.1,8.7,4.0,3.9,3.2,2.8,2.7,2.5,1.3,0.2,0.2,
Cody Zeller,83.1,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7
Bismack Biyombo,82.3,5.9,4.0,3.2,2.9,2.9,2.4,2.3,2.0,1.8,1.4,0.6
Kent Benson,82.2,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0
George Johnson,82.2,5.0,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2.0,1.0,0.3
Walter Dukes,82.1,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,
Matt Geiger,81.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,
Leroy Ellis,81.7,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
Andrew Lang,81.6,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,-0.1
