"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2008-09,23,ORL,NBA,SG,77.0,42.0,1939.0,0.45,0.478,0.404,0.526,0.83,0.556,0.174,0.376,98.0,98.0,110.0,105.0,108.0,102.0,57.0,168.0,28.2,13.0,ROY-11
2009-10,24,NJN,NBA,SG,71.0,66.0,2375.0,0.436,0.476,0.338,0.485,0.869,0.525,0.197,0.29,95.0,97.0,95.0,97.0,115.0,97.0,66.0,131.0,-24.1,-29.7,
2010-11,25,HOU,NBA,SG,81.0,1.0,1723.0,0.439,0.453,0.408,0.501,0.792,0.534,0.208,0.302,96.0,93.0,114.0,101.0,104.0,99.0,69.0,136.0,2.9,-8.9,
2011-12,26,HOU,NBA,SG,58.0,26.0,1757.0,0.433,0.452,0.401,0.508,0.826,0.534,0.148,0.374,97.0,95.0,115.0,104.0,110.0,101.0,54.0,166.0,23.7,8.7,
2012-13,27,BOS,NBA,SG,78.0,39.0,1941.0,0.464,0.503,0.372,0.519,0.861,0.545,0.136,0.294,103.0,104.0,104.0,105.0,114.0,102.0,50.0,121.0,23.8,11.4,
2013-14,28,2TM,NBA,SG,79.0,47.0,1973.0,0.48,0.531,0.371,0.539,0.884,0.574,0.182,0.316,106.0,109.0,103.0,108.0,117.0,106.0,64.0,122.0,46.7,43.5,
2013-14,28,BOS,NBA,SG,30.0,0.0,504.0,0.492,0.511,0.442,0.555,0.818,0.573,0.12,0.284,108.0,105.0,123.0,111.0,108.0,106.0,42.0,110.0,19.6,12.6,
2013-14,28,MEM,NBA,SG,49.0,47.0,1469.0,0.476,0.54,0.345,0.532,0.9,0.574,0.209,0.329,105.0,111.0,96.0,106.0,119.0,106.0,73.0,127.0,27.1,30.9,
2014-15,29,MEM,NBA,SG,77.0,74.0,2354.0,0.448,0.473,0.402,0.518,0.86,0.555,0.201,0.348,100.0,97.0,115.0,104.0,115.0,104.0,73.0,130.0,28.3,29.4,
2015-16,30,2TM,NBA,SG,79.0,65.0,2334.0,0.454,0.493,0.378,0.518,0.839,0.551,0.185,0.34,100.0,100.0,107.0,103.0,111.0,102.0,67.0,119.0,19.8,13.1,
2015-16,30,MEM,NBA,SG,51.0,37.0,1489.0,0.458,0.502,0.37,0.519,0.826,0.556,0.22,0.329,101.0,102.0,104.0,103.0,109.0,103.0,79.0,116.0,13.9,13.6,
2015-16,30,CHO,NBA,SG,28.0,28.0,845.0,0.445,0.475,0.392,0.516,0.885,0.54,0.118,0.359,99.0,97.0,111.0,103.0,117.0,100.0,43.0,126.0,5.9,-0.5,
2016-17,31,NYK,NBA,SG,77.0,74.0,2459.0,0.456,0.49,0.401,0.533,0.867,0.559,0.139,0.382,100.0,97.0,112.0,104.0,112.0,101.0,51.0,121.0,26.7,9.6,
2017-18,32,NYK,NBA,SG,76.0,69.0,2310.0,0.454,0.482,0.406,0.529,0.919,0.564,0.164,0.368,99.0,94.0,112.0,102.0,120.0,101.0,65.0,109.0,12.0,12.5,
2018-19,33,2TM,NBA,SG,34.0,6.0,428.0,0.411,0.5,0.291,0.473,0.667,0.492,0.163,0.426,89.0,96.0,82.0,90.0,87.0,88.0,63.0,119.0,-13.3,-18.7,
