"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2009-10,22,PHO,NBA,WCF,LAL,L (2-4),6.0,17.3,7.8,4.0,0.0,0.3,0.2,19.0,35.0,0.543,0.0,0.0,19.0,35.0,0.543,0.543,9.0,9.0,1.0,12.0,12.0,24.0,0.0,2.0,1.0,3.0,11.0,47.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,26,POR,NBA,WC1,HOU,W (4-2),6.0,33.0,9.7,8.7,0.8,0.7,2.7,25.0,49.0,0.51,0.0,0.0,25.0,49.0,0.51,0.51,8.0,15.0,0.533,24.0,28.0,52.0,5.0,4.0,16.0,5.0,25.0,58.0,
2013-14,26,POR,NBA,WCS,SAS,L (1-4),5.0,33.8,10.4,9.8,0.8,0.4,0.8,18.0,39.0,0.462,0.0,0.0,18.0,39.0,0.462,0.462,16.0,21.0,0.762,23.0,26.0,49.0,4.0,2.0,4.0,6.0,15.0,52.0,
2014-15,27,POR,NBA,WC1,MEM,L (1-4),5.0,23.4,5.2,4.4,0.6,0.2,1.0,9.0,15.0,0.6,0.0,0.0,9.0,15.0,0.6,0.6,8.0,8.0,1.0,9.0,13.0,22.0,3.0,1.0,5.0,5.0,15.0,26.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,29,CHI,NBA,EC1,BOS,L (2-4),6.0,27.0,12.7,7.2,0.8,0.5,1.0,34.0,52.0,0.654,0.0,0.0,34.0,52.0,0.654,0.654,8.0,8.0,1.0,28.0,15.0,43.0,5.0,3.0,6.0,8.0,13.0,76.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,32,MIL,NBA,EC1,ORL,W (4-1),3.0,7.0,2.0,1.3,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,
2020-21,33,WAS,NBA,EC1,PHI,L (1-4),5.0,14.6,7.4,1.8,0.0,0.0,0.8,18.0,25.0,0.72,0.0,0.0,18.0,25.0,0.72,0.72,1.0,4.0,0.25,4.0,5.0,9.0,0.0,0.0,4.0,1.0,7.0,37.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,35,CLE,NBA,EC1,NYK,L (1-4),2.0,3.0,4.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,
7 Yrs (8 Series),7 Yrs (8 Series),7 Yrs (8 Series),7 Yrs (8 Series),7 Yrs (8 Series),7 Yrs (8 Series),2-6,38.0,22.4,8.2,5.4,0.4,0.3,0.9,129.0,222.0,0.581,0.0,0.0,129.0,222.0,0.581,0.581,52.0,67.0,0.776,101.0,103.0,204.0,17.0,12.0,36.0,29.0,90.0,310.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),1-1,11.0,28.6,7.6,6.7,0.7,0.5,1.9,34.0,64.0,0.531,0.0,0.0,34.0,64.0,0.531,0.531,16.0,23.0,0.696,33.0,41.0,74.0,8.0,5.0,21.0,10.0,40.0,84.0,
EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),1-3,16.0,16.4,7.9,3.6,0.3,0.2,0.6,58.0,84.0,0.69,0.0,0.0,58.0,84.0,0.69,0.69,11.0,14.0,0.786,33.0,24.0,57.0,5.0,3.0,10.0,10.0,24.0,127.0,
WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),0-1,5.0,33.8,10.4,9.8,0.8,0.4,0.8,18.0,39.0,0.462,0.0,0.0,18.0,39.0,0.462,0.462,16.0,21.0,0.762,23.0,26.0,49.0,4.0,2.0,4.0,6.0,15.0,52.0,
WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),WCF (1 Series),0-1,6.0,17.3,7.8,4.0,0.0,0.3,0.2,19.0,35.0,0.543,0.0,0.0,19.0,35.0,0.543,0.543,9.0,9.0,1.0,12.0,12.0,24.0,0.0,2.0,1.0,3.0,11.0,47.0,
