Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2009-10,20,SAS,NBA,PF,82,23,1494,17.7,.564,.004,.325,16.0,25.1,20.6,7.1,1.8,1.9,16.5,20.8,1.8,2.8,4.6,.147,-1.0,0.4,-0.7,0.5,
2010-11,21,SAS,NBA,PF,81,65,1734,17.1,.524,.003,.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,1.5,3.2,4.8,.132,-1.2,0.7,-0.5,0.7,
2011-12,22,SAS,NBA,PF,64,62,1363,17.6,.549,.002,.236,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,2.2,1.8,4.0,.142,-0.4,0.0,-0.3,0.6,
2012-13,23,SAS,NBA,PF,61,16,851,14.6,.543,.004,.258,9.5,21.1,15.6,8.3,2.2,0.9,14.0,19.0,0.7,1.5,2.2,.126,-2.4,0.8,-1.6,0.1,
2013-14,24,DAL,NBA,PF,78,13,1214,17.3,.557,.005,.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,.133,-1.2,0.1,-1.1,0.3,
2014-15,25,WAS,NBA,PF,29,0,180,7.7,.469,.000,.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,-0.2,0.3,0.1,.033,-7.5,-0.9,-8.4,-0.3,
2015-16,26,WAS,NBA,C,29,0,218,5.4,.414,.015,.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,-0.3,0.3,-0.1,-0.015,-8.1,-0.7,-8.9,-0.4,
2016-17,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,424,179,7054,16.5,.541,.004,.264,13.6,21.6,17.7,7.8,2.3,1.3,15.1,20.2,7.5,11.5,19.0,.129,-1.5,0.3,-1.2,1.4,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,35,1364,16.5,.541,.004,.264,13.6,21.6,17.7,7.8,2.3,1.3,15.1,20.2,1.5,2.2,3.7,.129,-1.5,0.3,-1.2,0.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (4 Yrs),SAS (4 Yrs),SAS (4 Yrs),SAS (4 Yrs),,288,166,5442,17.0,.544,.003,.263,13.9,21.6,17.8,7.8,2.3,1.4,15.0,20.5,6.2,9.4,15.6,.138,-1.2,0.5,-0.7,1.8,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,58,0,398,6.5,.439,.008,.152,10.1,21.7,15.9,5.2,1.9,0.6,17.4,18.0,-0.5,0.6,0.1,.007,-7.8,-0.8,-8.6,-0.7,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,78,13,1214,17.3,.557,.005,.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,.133,-1.2,0.1,-1.1,0.3,
