"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2009-10,23,NYK,NBA,PG,56.0,12.0,1087.0,56.0,44.0,1.0,0.0,0.0,-5.2,-1.8,28.0,10.0,43.0,6.0,25.0,10.0,276.0,5.0,21.0,
2010-11,24,NYK,NBA,SG,81.0,9.0,1971.0,47.0,53.0,0.0,0.0,0.0,2.6,2.9,43.0,17.0,70.0,16.0,42.0,17.0,578.0,8.0,28.0,6MOY-14
2011-12,25,NYK,NBA,PG,38.0,9.0,656.0,89.0,11.0,0.0,0.0,0.0,-0.4,-4.7,33.0,10.0,13.0,7.0,12.0,4.0,186.0,4.0,15.0,
2012-13,26,2TM,NBA,PG,71.0,0.0,1289.0,93.0,7.0,0.0,0.0,0.0,4.0,3.3,48.0,10.0,44.0,7.0,36.0,7.0,357.0,10.0,31.0,
2012-13,26,HOU,NBA,PG,49.0,0.0,913.0,96.0,4.0,0.0,0.0,0.0,3.1,-0.6,32.0,8.0,30.0,5.0,31.0,5.0,220.0,9.0,22.0,
2012-13,26,SAC,NBA,PG,22.0,0.0,376.0,87.0,13.0,0.0,0.0,0.0,6.2,12.8,16.0,2.0,14.0,2.0,5.0,2.0,137.0,1.0,9.0,
2013-14,27,2TM,NBA,PG,51.0,17.0,675.0,51.0,49.0,0.0,0.0,0.0,0.5,-5.0,26.0,1.0,33.0,2.0,14.0,3.0,159.0,2.0,13.0,
2013-14,27,GSW,NBA,PG,24.0,0.0,265.0,96.0,4.0,0.0,0.0,0.0,-13.4,-19.7,12.0,1.0,13.0,1.0,4.0,0.0,42.0,1.0,3.0,
2013-14,27,MIA,NBA,PG,27.0,17.0,410.0,23.0,78.0,0.0,0.0,0.0,9.5,4.6,14.0,0.0,20.0,1.0,10.0,3.0,117.0,1.0,10.0,
2014-15,28,NOP,NBA,SG,12.0,0.0,177.0,27.0,73.0,1.0,0.0,0.0,2.5,1.2,6.0,2.0,8.0,2.0,4.0,0.0,55.0,1.0,1.0,
2015-16,29,NOP,NBA,PG,61.0,18.0,1262.0,65.0,35.0,1.0,0.0,0.0,-5.3,-2.0,33.0,10.0,53.0,7.0,38.0,7.0,359.0,6.0,29.0,
2016-17,30,MEM,NBA,PG,24.0,0.0,394.0,71.0,29.0,0.0,0.0,0.0,1.7,1.1,13.0,4.0,17.0,1.0,11.0,3.0,134.0,3.0,9.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,394.0,65.0,7511.0,64.0,36.0,0.0,0.0,0.0,-0.1,-0.1,230.0,64.0,281.0,48.0,182.0,51.0,2104.0,39.0,147.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,14.0,1563.0,64.0,36.0,0.0,0.0,0.0,-0.1,-0.1,48.0,13.0,58.0,10.0,38.0,11.0,438.0,8.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,175.0,30.0,3714.0,57.0,43.0,0.0,0.0,0.0,-0.2,0.2,104.0,37.0,126.0,29.0,79.0,31.0,1040.0,17.0,64.0,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,73.0,18.0,1439.0,60.0,40.0,1.0,0.0,0.0,-4.3,-1.7,39.0,12.0,61.0,9.0,42.0,7.0,414.0,7.0,30.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,49.0,0.0,913.0,96.0,4.0,0.0,0.0,0.0,3.1,-0.6,32.0,8.0,30.0,5.0,31.0,5.0,220.0,9.0,22.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,27.0,17.0,410.0,23.0,78.0,0.0,0.0,0.0,9.5,4.6,14.0,0.0,20.0,1.0,10.0,3.0,117.0,1.0,10.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,24.0,0.0,265.0,96.0,4.0,0.0,0.0,0.0,-13.4,-19.7,12.0,1.0,13.0,1.0,4.0,0.0,42.0,1.0,3.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,24.0,0.0,394.0,71.0,29.0,0.0,0.0,0.0,1.7,1.1,13.0,4.0,17.0,1.0,11.0,3.0,134.0,3.0,9.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,22.0,0.0,376.0,87.0,13.0,0.0,0.0,0.0,6.2,12.8,16.0,2.0,14.0,2.0,5.0,2.0,137.0,1.0,9.0,
