Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,22,CHA,NBA,SG,43.0,0.0,355.0,3.8,10.5,0.356,0.4,1.9,0.211,3.3,8.6,0.388,0.375,3.5,4.8,0.745,1.5,4.1,5.6,1.3,1.0,0.9,1.4,2.5,11.5,
2010-11,23,CHA,NBA,SG,68.0,30.0,1661.0,5.6,12.4,0.454,0.2,0.8,0.194,5.5,11.6,0.472,0.461,2.8,3.5,0.785,1.1,3.4,4.5,2.2,1.1,0.7,1.4,2.6,14.2,
2011-12,24,CHA,NBA,SG,55.0,55.0,1831.0,6.5,14.2,0.459,0.2,0.9,0.234,6.3,13.3,0.475,0.467,3.0,4.0,0.76,1.3,3.2,4.4,2.5,1.0,0.4,2.0,2.5,16.3,
2012-13,25,CHA,NBA,SG,68.0,58.0,2133.0,6.4,14.4,0.447,0.6,1.7,0.33,5.9,12.7,0.462,0.466,4.4,5.3,0.824,0.9,3.3,4.2,3.0,1.1,0.6,1.8,2.5,17.8,
2013-14,26,CHA,NBA,SG,77.0,77.0,2461.0,5.9,13.6,0.433,0.6,1.7,0.348,5.3,11.9,0.445,0.455,3.4,4.5,0.761,0.5,4.1,4.5,2.9,0.7,0.5,1.7,2.3,15.8,
2014-15,27,CHO,NBA,SG,80.0,72.0,2315.0,5.8,13.2,0.437,0.7,2.1,0.331,5.1,11.1,0.457,0.463,2.9,3.4,0.848,0.6,3.7,4.2,3.2,0.8,0.3,1.7,2.1,15.1,
2015-16,28,POR,NBA,SG,72.0,0.0,1431.0,5.8,13.3,0.439,1.2,3.4,0.353,4.6,9.9,0.468,0.484,2.8,3.7,0.767,0.8,4.6,5.3,1.9,1.0,0.5,1.7,2.2,15.7,
2016-17,29,PHI,NBA,SG,72.0,41.0,1667.0,5.1,11.9,0.423,1.3,3.7,0.353,3.7,8.2,0.455,0.478,2.9,3.6,0.806,0.7,3.3,4.0,2.4,0.9,0.3,1.3,2.8,14.3,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,535.0,333.0,13854.0,5.8,13.3,0.44,0.6,2.0,0.327,5.2,11.3,0.46,0.464,3.2,4.1,0.793,0.8,3.6,4.5,2.6,0.9,0.5,1.7,2.4,15.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA (6 Yrs),CHA (6 Yrs),CHA (6 Yrs),CHA (6 Yrs),,391.0,292.0,10756.0,6.0,13.5,0.443,0.5,1.5,0.309,5.5,12.0,0.459,0.46,3.3,4.2,0.794,0.8,3.6,4.4,2.8,0.9,0.5,1.7,2.4,15.7,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,72.0,41.0,1667.0,5.1,11.9,0.423,1.3,3.7,0.353,3.7,8.2,0.455,0.478,2.9,3.6,0.806,0.7,3.3,4.0,2.4,0.9,0.3,1.3,2.8,14.3,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,72.0,0.0,1431.0,5.8,13.3,0.439,1.2,3.4,0.353,4.6,9.9,0.468,0.484,2.8,3.7,0.767,0.8,4.6,5.3,1.9,1.0,0.5,1.7,2.2,15.7,
