"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2010-11,23,PHI,NBA,SG,5.0,5.0,125.0,0.419,19.5,0.419,0.129,0.032,0.032,0.226,0.581,0.385,0.5,0.0,0.0,0.429,0.444,0.6,1.0,0.0,0.0,0.222,0.5,0.0,0.0,
2011-12,24,PHI,NBA,SG,13.0,1.0,102.0,0.346,17.8,0.5,0.115,0.115,0.077,0.192,0.5,0.462,0.667,0.333,1.0,0.2,0.231,0.833,1.0,0.0,0.0,0.308,0.5,0.0,0.0,
2012-13,25,LAL,NBA,SG,1.0,0.0,20.0,0.25,15.2,0.5,0.25,0.0,0.25,0.0,0.5,0.5,1.0,,0.0,,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,28,DET,NBA,SG,1.0,0.0,2.0,1.0,6.2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,,,,1.0,,0.0,0.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,31,TOR,NBA,SG,14.0,0.0,66.0,0.31,16.4,0.552,0.172,0.172,0.069,0.138,0.448,0.438,0.6,0.4,0.5,0.25,0.154,0.857,0.5,0.0,0.0,0.308,0.25,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,34.0,6.0,315.0,0.363,15.0,0.495,0.143,0.11,0.066,0.176,0.505,0.444,0.615,0.4,0.5,0.313,0.283,0.75,0.923,0.0,0.0,0.283,0.385,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,14.0,760.0,0.363,15.0,0.495,0.143,0.11,0.066,0.176,0.505,0.444,0.615,0.4,0.5,0.313,0.283,0.75,0.923,0.0,0.0,0.283,0.385,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,18.0,6.0,227.0,0.386,18.6,0.456,0.123,0.07,0.053,0.211,0.544,0.423,0.571,0.25,0.667,0.333,0.355,0.727,1.0,0.0,0.0,0.258,0.5,0.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,14.0,0.0,66.0,0.31,16.4,0.552,0.172,0.172,0.069,0.138,0.448,0.438,0.6,0.4,0.5,0.25,0.154,0.857,0.5,0.0,0.0,0.308,0.25,0.0,0.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,1.0,0.0,2.0,1.0,6.2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,,,,1.0,,0.0,0.0,,,0.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,1.0,0.0,20.0,0.25,15.2,0.5,0.25,0.0,0.25,0.0,0.5,0.5,1.0,,0.0,,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,
