Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,23,MEM,NBA,PF,8.0,0.0,48.0,5.0,12.0,0.417,0.0,0.0,,5.0,12.0,0.417,0.417,3.0,4.0,0.75,4.0,7.0,11.0,0.0,0.0,1.0,2.0,7.0,13.0,0.0,
2013-14,24,MEM,NBA,PF,7.0,0.0,25.0,3.0,10.0,0.3,0.0,0.0,,3.0,10.0,0.3,0.3,0.0,1.0,0.0,8.0,7.0,15.0,0.0,1.0,3.0,2.0,2.0,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,POR,NBA,PF,11.0,0.0,205.0,21.0,40.0,0.525,0.0,2.0,0.0,21.0,38.0,0.553,0.525,19.0,33.0,0.576,26.0,49.0,75.0,14.0,2.0,7.0,10.0,33.0,61.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,28,POR,NBA,C,4.0,0.0,71.0,5.0,10.0,0.5,0.0,0.0,,5.0,10.0,0.5,0.5,1.0,4.0,0.25,5.0,27.0,32.0,0.0,0.0,1.0,4.0,7.0,11.0,0.0,
2018-19,29,BRK,NBA,C,3.0,0.0,41.0,7.0,10.0,0.7,0.0,0.0,,7.0,10.0,0.7,0.7,2.0,2.0,1.0,4.0,15.0,19.0,2.0,0.0,1.0,0.0,9.0,16.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,33.0,0.0,390.0,41.0,82.0,0.5,0.0,2.0,0.0,41.0,80.0,0.513,0.5,25.0,44.0,0.568,47.0,105.0,152.0,16.0,3.0,13.0,18.0,58.0,107.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,969.0,102.0,204.0,0.5,0.0,5.0,0.0,102.0,199.0,0.513,0.5,62.0,109.0,0.568,117.0,261.0,378.0,40.0,7.0,32.0,45.0,144.0,266.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,15.0,0.0,73.0,8.0,22.0,0.364,0.0,0.0,,8.0,22.0,0.364,0.364,3.0,5.0,0.6,12.0,14.0,26.0,0.0,1.0,4.0,4.0,9.0,19.0,0.0,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,15.0,0.0,276.0,26.0,50.0,0.52,0.0,2.0,0.0,26.0,48.0,0.542,0.52,20.0,37.0,0.541,31.0,76.0,107.0,14.0,2.0,8.0,14.0,40.0,72.0,0.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,3.0,0.0,41.0,7.0,10.0,0.7,0.0,0.0,,7.0,10.0,0.7,0.7,2.0,2.0,1.0,4.0,15.0,19.0,2.0,0.0,1.0,0.0,9.0,16.0,0.0,
