Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2010-11,20,IND,NBA,SG,5.0,5.0,133.0,10.0,33.0,0.303,3.0,13.0,0.231,7.0,20.0,0.35,0.348,7.0,8.0,0.875,5.0,20.0,25.0,5.0,7.0,10.0,7.0,11.0,30.0,0.0,
2011-12,21,IND,NBA,SG,11.0,11.0,371.0,37.0,95.0,0.389,11.0,41.0,0.268,26.0,54.0,0.481,0.447,22.0,28.0,0.786,15.0,58.0,73.0,26.0,18.0,4.0,21.0,32.0,107.0,0.0,
2012-13,22,IND,NBA,SF,19.0,19.0,780.0,119.0,277.0,0.43,34.0,104.0,0.327,85.0,173.0,0.491,0.491,93.0,128.0,0.727,16.0,125.0,141.0,96.0,25.0,9.0,75.0,72.0,365.0,1.0,
2013-14,23,IND,NBA,SF,19.0,19.0,781.0,138.0,315.0,0.438,52.0,129.0,0.403,86.0,186.0,0.462,0.521,101.0,128.0,0.789,13.0,132.0,145.0,73.0,41.0,7.0,49.0,56.0,429.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,25,IND,NBA,SF,7.0,7.0,275.0,56.0,123.0,0.455,18.0,43.0,0.419,38.0,80.0,0.475,0.528,61.0,64.0,0.953,9.0,44.0,53.0,30.0,14.0,5.0,23.0,24.0,191.0,0.0,
2016-17,26,IND,NBA,SF,4.0,4.0,172.0,34.0,88.0,0.386,18.0,42.0,0.429,16.0,46.0,0.348,0.489,26.0,30.0,0.867,5.0,30.0,35.0,29.0,7.0,2.0,13.0,13.0,112.0,0.0,
2017-18,27,OKC,NBA,SF,6.0,6.0,251.0,49.0,120.0,0.408,19.0,52.0,0.365,30.0,68.0,0.441,0.488,31.0,36.0,0.861,4.0,32.0,36.0,16.0,8.0,4.0,24.0,17.0,148.0,0.0,
2018-19,28,OKC,NBA,SF,5.0,5.0,204.0,44.0,101.0,0.436,15.0,47.0,0.319,29.0,54.0,0.537,0.51,40.0,49.0,0.816,6.0,37.0,43.0,18.0,7.0,1.0,21.0,21.0,143.0,0.0,
2019-20,29,LAC,NBA,SF,13.0,13.0,479.0,88.0,221.0,0.398,37.0,111.0,0.333,51.0,110.0,0.464,0.482,50.0,55.0,0.909,14.0,65.0,79.0,49.0,19.0,7.0,40.0,49.0,263.0,0.0,
2020-21,30,LAC,NBA,SF,19.0,19.0,776.0,165.0,374.0,0.441,51.0,152.0,0.336,114.0,222.0,0.514,0.509,130.0,154.0,0.844,17.0,166.0,183.0,102.0,19.0,10.0,67.0,59.0,511.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,33,LAC,NBA,PF,6.0,6.0,222.0,39.0,95.0,0.411,18.0,49.0,0.367,21.0,46.0,0.457,0.505,21.0,25.0,0.84,3.0,38.0,41.0,29.0,7.0,3.0,14.0,22.0,117.0,0.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,114.0,114.0,4444.0,779.0,1842.0,0.423,276.0,783.0,0.352,503.0,1059.0,0.475,0.498,582.0,705.0,0.826,107.0,747.0,854.0,473.0,172.0,62.0,354.0,376.0,2416.0,1.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,3197.0,560.0,1325.0,0.423,199.0,563.0,0.352,362.0,762.0,0.475,0.498,419.0,507.0,0.826,77.0,537.0,614.0,340.0,124.0,45.0,255.0,270.0,1738.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (6 Yrs),IND (6 Yrs),IND (6 Yrs),IND (6 Yrs),,65.0,65.0,2512.0,394.0,931.0,0.423,136.0,372.0,0.366,258.0,559.0,0.462,0.496,310.0,386.0,0.803,63.0,409.0,472.0,259.0,112.0,37.0,188.0,208.0,1234.0,1.0,
LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),,38.0,38.0,1477.0,292.0,690.0,0.423,106.0,312.0,0.34,186.0,378.0,0.492,0.5,201.0,234.0,0.859,34.0,269.0,303.0,180.0,45.0,20.0,121.0,130.0,891.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,11.0,11.0,455.0,93.0,221.0,0.421,34.0,99.0,0.343,59.0,122.0,0.484,0.498,71.0,85.0,0.835,10.0,69.0,79.0,34.0,15.0,5.0,45.0,38.0,291.0,0.0,
