Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,21,CHA,NBA,C,3.0,1.0,48.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,2.0,6.0,0.333,5.0,6.0,11.0,1.0,0.0,2.0,0.0,4.0,8.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,TOR,NBA,C,20.0,10.0,506.0,40.0,69.0,0.58,0.0,0.0,40.0,69.0,0.58,0.58,43.0,72.0,0.597,53.0,134.0,187.0,8.0,8.0,27.0,21.0,48.0,123.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,29,PHO,NBA,C,9.0,0.0,86.0,11.0,17.0,0.647,0.0,0.0,11.0,17.0,0.647,0.647,3.0,6.0,0.5,8.0,11.0,19.0,5.0,1.0,2.0,6.0,13.0,25.0,0.0,
2022-23,30,PHO,NBA,C,8.0,0.0,78.0,9.0,16.0,0.563,0.0,0.0,9.0,16.0,0.563,0.563,9.0,18.0,0.5,10.0,17.0,27.0,6.0,0.0,10.0,6.0,18.0,27.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,11.0,718.0,63.0,107.0,0.589,0.0,0.0,63.0,107.0,0.589,0.589,57.0,102.0,0.559,76.0,168.0,244.0,20.0,9.0,41.0,33.0,83.0,183.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,23.0,1472.0,129.0,219.0,0.589,0.0,0.0,129.0,219.0,0.589,0.589,117.0,209.0,0.559,156.0,344.0,500.0,41.0,18.0,84.0,68.0,170.0,375.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,17.0,0.0,164.0,20.0,33.0,0.606,0.0,0.0,20.0,33.0,0.606,0.606,12.0,24.0,0.5,18.0,28.0,46.0,11.0,1.0,12.0,12.0,31.0,52.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,20.0,10.0,506.0,40.0,69.0,0.58,0.0,0.0,40.0,69.0,0.58,0.58,43.0,72.0,0.597,53.0,134.0,187.0,8.0,8.0,27.0,21.0,48.0,123.0,0.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,3.0,1.0,48.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,2.0,6.0,0.333,5.0,6.0,11.0,1.0,0.0,2.0,0.0,4.0,8.0,0.0,
