Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2011-12,22,BOS,NBA,PG,38.0,0.0,331.0,8.8,0.474,0.398,0.062,1.5,9.9,5.9,17.0,1.8,0.7,15.3,19.9,-0.3,0.5,0.2,0.031,-3.3,0.9,-2.4,0.0,
2012-13,23,ORL,NBA,SG,75.0,21.0,1682.0,10.7,0.471,0.329,0.099,3.2,8.0,5.6,19.1,1.6,1.1,14.4,19.7,-0.4,0.7,0.2,0.006,-1.6,-0.7,-2.3,-0.1,
2013-14,24,ORL,NBA,SG,79.0,3.0,1506.0,11.1,0.513,0.353,0.149,2.2,8.1,5.1,11.8,2.0,0.7,10.2,16.4,0.6,1.1,1.7,0.055,-1.9,0.3,-1.6,0.2,
2014-15,25,CHI,NBA,SG,56.0,0.0,504.0,10.3,0.504,0.273,0.144,2.7,7.1,5.0,10.4,2.1,0.9,8.7,14.4,0.3,0.5,0.8,0.08,-2.7,1.1,-1.5,0.1,
2015-16,26,CHI,NBA,SG,59.0,22.0,1263.0,11.4,0.548,0.267,0.09,1.6,9.3,5.5,12.1,1.5,1.0,11.6,15.9,0.9,1.0,1.8,0.07,-1.9,0.0,-1.9,0.0,
2016-17,27,NOP,NBA,SG,73.0,22.0,1820.0,12.1,0.537,0.336,0.12,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,1.2,1.5,2.7,0.07,-1.7,0.1,-1.6,0.2,
2017-18,28,NOP,NBA,SG,82.0,80.0,2586.0,12.1,0.593,0.362,0.082,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,2.7,1.6,4.4,0.081,-1.0,-0.5,-1.6,0.3,
2018-19,29,NOP,NBA,SG,53.0,36.0,1463.0,11.5,0.567,0.331,0.111,2.5,6.4,4.5,9.5,1.3,0.4,9.6,17.3,1.2,0.5,1.7,0.055,-1.2,-1.1,-2.3,-0.1,
2019-20,30,NOP,NBA,SG,56.0,6.0,1020.0,11.3,0.51,0.382,0.103,3.2,10.4,6.8,11.0,1.5,0.9,8.1,19.9,0.3,0.7,0.9,0.043,-1.9,-0.8,-2.7,-0.2,
2020-21,31,PHO,NBA,SG,27.0,1.0,389.0,10.4,0.523,0.289,0.116,4.2,8.9,6.6,13.7,1.9,1.2,15.3,17.2,0.0,0.4,0.4,0.049,-3.1,0.2,-2.9,-0.1,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,598.0,191.0,12564.0,11.4,0.535,0.338,0.106,2.5,7.9,5.2,12.6,1.6,0.8,10.7,17.3,6.5,8.3,14.8,0.057,-1.7,-0.3,-1.9,0.2,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,26.0,1723.0,11.4,0.535,0.338,0.106,2.5,7.9,5.2,12.6,1.6,0.8,10.7,17.3,0.9,1.1,2.0,0.057,-1.7,-0.3,-1.9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP (4 Yrs),NOP (4 Yrs),NOP (4 Yrs),NOP (4 Yrs),,264.0,144.0,6889.0,11.9,0.558,0.352,0.102,2.4,7.5,5.0,11.1,1.4,0.7,9.4,17.3,5.4,4.2,9.6,0.067,-1.4,-0.5,-1.9,0.2,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,154.0,24.0,3188.0,10.9,0.49,0.34,0.12,2.7,8.0,5.4,15.7,1.8,0.9,12.6,18.1,0.2,1.8,2.0,0.029,-1.7,-0.2,-2.0,0.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,115.0,22.0,1767.0,11.1,0.536,0.269,0.104,1.9,8.7,5.4,11.6,1.6,1.0,10.8,15.5,1.2,1.5,2.7,0.073,-2.1,0.4,-1.8,0.1,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,38.0,0.0,331.0,8.8,0.474,0.398,0.062,1.5,9.9,5.9,17.0,1.8,0.7,15.3,19.9,-0.3,0.5,0.2,0.031,-3.3,0.9,-2.4,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,27.0,1.0,389.0,10.4,0.523,0.289,0.116,4.2,8.9,6.6,13.7,1.9,1.2,15.3,17.2,0.0,0.4,0.4,0.049,-3.1,0.2,-2.9,-0.1,
