"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2011-12,21,NYK,NBA,PG,1.0,1.0,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,221.0,
2012-13,22,NYK,NBA,SG,12.0,12.0,337.0,0.41,0.397,0.429,0.5,0.857,0.528,0.14,0.42,91.0,82.0,119.0,101.0,114.0,99.0,52.0,173.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,24,CLE,NBA,SG,20.0,16.0,695.0,0.36,0.366,0.355,0.46,0.75,0.498,0.244,0.567,80.0,75.0,101.0,93.0,100.0,93.0,89.0,211.0,
2015-16,25,CLE,NBA,SG,21.0,0.0,367.0,0.417,0.462,0.382,0.525,0.636,0.54,0.183,0.567,92.0,94.0,108.0,104.0,84.0,100.0,66.0,199.0,
2016-17,26,CLE,NBA,SG,17.0,0.0,275.0,0.417,0.441,0.385,0.5,0.824,0.548,0.283,0.433,91.0,88.0,108.0,97.0,107.0,99.0,105.0,137.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,28,HOU,NBA,SG,8.0,0.0,109.0,0.385,0.5,0.364,0.538,0.25,0.522,0.154,0.846,84.0,96.0,102.0,103.0,33.0,93.0,59.0,236.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,79.0,29.0,1802.0,0.388,0.402,0.376,0.488,0.744,0.518,0.209,0.529,86.0,82.0,106.0,97.0,98.0,96.0,77.0,191.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,58.0,16.0,1337.0,0.384,0.405,0.366,0.482,0.75,0.518,0.239,0.539,85.0,82.0,104.0,96.0,99.0,96.0,88.0,193.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,13.0,13.0,356.0,0.402,0.39,0.419,0.49,0.857,0.518,0.137,0.422,89.0,81.0,117.0,99.0,114.0,97.0,51.0,174.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,8.0,0.0,109.0,0.385,0.5,0.364,0.538,0.25,0.522,0.154,0.846,84.0,96.0,102.0,103.0,33.0,93.0,59.0,236.0,
