Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,19,WAS,NBA,SG,56.0,46.0,1745.0,282.0,687.0,0.41,91.0,236.0,0.386,191.0,451.0,0.424,0.477,125.0,159.0,0.786,43.0,168.0,211.0,137.0,50.0,29.0,90.0,113.0,780.0,0.0,ROY-3
2013-14,20,WAS,NBA,SG,73.0,73.0,2530.0,481.0,1149.0,0.419,138.0,343.0,0.402,343.0,806.0,0.426,0.479,149.0,189.0,0.788,54.0,219.0,273.0,243.0,71.0,18.0,128.0,153.0,1249.0,0.0,
2014-15,21,WAS,NBA,SG,63.0,59.0,2107.0,363.0,851.0,0.427,106.0,259.0,0.409,257.0,592.0,0.434,0.489,130.0,166.0,0.783,57.0,184.0,241.0,194.0,76.0,18.0,123.0,136.0,962.0,0.0,
2015-16,22,WAS,NBA,SG,55.0,35.0,1708.0,359.0,799.0,0.449,105.0,271.0,0.387,254.0,528.0,0.481,0.515,135.0,176.0,0.767,41.0,147.0,188.0,162.0,54.0,11.0,112.0,117.0,958.0,0.0,
2016-17,23,WAS,NBA,SG,77.0,77.0,2684.0,637.0,1322.0,0.482,223.0,552.0,0.404,414.0,770.0,0.538,0.566,282.0,342.0,0.825,53.0,187.0,240.0,267.0,83.0,21.0,156.0,169.0,1779.0,0.0,
2017-18,24,WAS,NBA,SG,82.0,82.0,2977.0,683.0,1484.0,0.46,199.0,530.0,0.375,484.0,954.0,0.507,0.527,292.0,369.0,0.791,61.0,302.0,363.0,373.0,96.0,36.0,214.0,160.0,1857.0,0.0,AS
2018-19,25,WAS,NBA,SG,82.0,82.0,3028.0,764.0,1609.0,0.475,209.0,596.0,0.351,555.0,1013.0,0.548,0.54,362.0,448.0,0.808,89.0,322.0,411.0,448.0,121.0,58.0,224.0,226.0,2099.0,2.0,AS
2019-20,26,WAS,NBA,SG,57.0,57.0,2053.0,593.0,1303.0,0.455,170.0,481.0,0.353,423.0,822.0,0.515,0.52,385.0,457.0,0.842,52.0,190.0,242.0,347.0,71.0,23.0,194.0,126.0,1741.0,0.0,
2020-21,27,WAS,NBA,SG,60.0,60.0,2147.0,670.0,1382.0,0.485,130.0,373.0,0.349,540.0,1009.0,0.535,0.532,408.0,459.0,0.889,72.0,211.0,283.0,265.0,69.0,22.0,187.0,140.0,1878.0,0.0,"AS,NBA3"
2021-22,28,WAS,NBA,SG,40.0,40.0,1439.0,348.0,771.0,0.451,63.0,210.0,0.3,285.0,561.0,0.508,0.492,169.0,203.0,0.833,38.0,151.0,189.0,265.0,36.0,15.0,135.0,95.0,928.0,0.0,
2022-23,29,WAS,NBA,SG,50.0,50.0,1673.0,444.0,878.0,0.506,80.0,219.0,0.365,364.0,659.0,0.552,0.551,192.0,228.0,0.842,41.0,155.0,196.0,271.0,45.0,33.0,145.0,107.0,1160.0,0.0,
2023-24,30,PHO,NBA,SG,53.0,53.0,1767.0,377.0,735.0,0.513,101.0,235.0,0.43,276.0,500.0,0.552,0.582,109.0,134.0,0.813,54.0,178.0,232.0,265.0,52.0,27.0,131.0,127.0,964.0,0.0,
2024-25,31,PHO,NBA,SG,53.0,38.0,1702.0,345.0,694.0,0.497,102.0,264.0,0.386,243.0,430.0,0.565,0.571,110.0,137.0,0.803,34.0,143.0,177.0,195.0,58.0,28.0,99.0,136.0,902.0,0.0,
2025-26,32,LAC,NBA,SG,6.0,6.0,121.0,18.0,48.0,0.375,7.0,19.0,0.368,11.0,29.0,0.379,0.448,6.0,8.0,0.75,2.0,3.0,5.0,10.0,3.0,0.0,9.0,14.0,49.0,0.0,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,807.0,758.0,27681.0,6364.0,13712.0,0.464,1724.0,4588.0,0.376,4640.0,9124.0,0.509,0.527,2854.0,3475.0,0.821,691.0,2560.0,3251.0,3442.0,885.0,339.0,1947.0,1819.0,17306.0,2.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,77.0,2813.0,647.0,1393.0,0.464,175.0,466.0,0.376,471.0,927.0,0.509,0.527,290.0,353.0,0.821,70.0,260.0,330.0,350.0,90.0,34.0,198.0,185.0,1758.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (11 Yrs),WAS (11 Yrs),WAS (11 Yrs),WAS (11 Yrs),,695.0,661.0,24091.0,5624.0,12235.0,0.46,1514.0,4070.0,0.372,4110.0,8165.0,0.503,0.522,2629.0,3196.0,0.823,601.0,2236.0,2837.0,2972.0,772.0,284.0,1708.0,1542.0,15391.0,2.0,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,106.0,91.0,3469.0,722.0,1429.0,0.505,203.0,499.0,0.407,519.0,930.0,0.558,0.576,219.0,271.0,0.808,88.0,321.0,409.0,460.0,110.0,55.0,230.0,263.0,1866.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,6.0,6.0,121.0,18.0,48.0,0.375,7.0,19.0,0.368,11.0,29.0,0.379,0.448,6.0,8.0,0.75,2.0,3.0,5.0,10.0,3.0,0.0,9.0,14.0,49.0,0.0,
