Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,20,DEN,NBA,SG,4.0,4.0,13.3,1.5,4.3,0.353,0.0,2.0,0.0,1.5,2.3,0.667,0.353,1.8,2.0,0.875,0.0,0.0,0.0,1.0,0.5,0.0,1.5,1.5,4.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,26,ORL,NBA,SG,5.0,5.0,35.0,4.8,13.8,0.348,1.6,6.8,0.235,3.2,7.0,0.457,0.406,1.2,1.6,0.75,0.6,2.6,3.2,2.0,1.4,0.0,2.4,2.8,12.4,
2019-20,27,ORL,NBA,SF,5.0,5.0,34.2,4.0,11.4,0.351,2.4,7.0,0.343,1.6,4.4,0.364,0.456,2.4,3.4,0.706,0.6,3.4,4.0,2.6,1.2,0.6,1.8,2.0,12.8,
2020-21,28,BOS,NBA,SF,5.0,5.0,33.4,5.4,12.6,0.429,2.6,6.0,0.433,2.8,6.6,0.424,0.532,2.0,2.4,0.833,1.0,2.6,3.6,1.4,1.2,0.0,1.0,4.0,15.4,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,19.0,19.0,29.8,4.1,10.8,0.374,1.7,5.6,0.308,2.3,5.2,0.444,0.454,1.8,2.4,0.778,0.6,2.3,2.8,1.8,1.1,0.2,1.7,2.6,11.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,10.0,10.0,34.6,4.4,12.6,0.349,2.0,6.9,0.29,2.4,5.7,0.421,0.429,1.8,2.5,0.72,0.6,3.0,3.6,2.3,1.3,0.3,2.1,2.4,12.6,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,5.0,5.0,33.4,5.4,12.6,0.429,2.6,6.0,0.433,2.8,6.6,0.424,0.532,2.0,2.4,0.833,1.0,2.6,3.6,1.4,1.2,0.0,1.0,4.0,15.4,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,4.0,4.0,13.3,1.5,4.3,0.353,0.0,2.0,0.0,1.5,2.3,0.667,0.353,1.8,2.0,0.875,0.0,0.0,0.0,1.0,0.5,0.0,1.5,1.5,4.8,
