Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,21,ATL,NBA,SG,61,2,902,5.2,11.7,.446,2.1,5.5,.384,3.1,6.2,.500,.536,2.4,2.8,.843,0.7,3.1,3.8,2.2,0.5,0.4,1.6,1.5,14.9,ROY-10
2013-14,22,ATL,NBA,SG,13,0,158,3.6,9.6,.381,0.9,4.1,.222,2.7,5.5,.500,.429,0.9,0.9,1.000,0.7,4.3,5.0,2.5,0.2,0.2,2.5,2.5,9.1,
2014-15,23,ATL,NBA,SG,24,3,297,5.9,12.0,.495,2.5,6.3,.404,3.4,5.7,.596,.601,1.9,2.3,.842,0.2,4.5,4.7,1.6,1.2,0.0,1.0,1.8,16.4,
2015-16,24,2TM,NBA,SG,43,3,480,5.3,12.0,.444,1.2,3.8,.314,4.1,8.2,.505,.494,1.5,1.8,.833,0.6,3.7,4.3,2.6,0.6,0.1,2.0,1.6,13.3,
2015-16,24,DAL,NBA,SG,21,1,193,5.4,13.1,.414,0.6,3.5,.158,4.8,9.5,.510,.436,1.5,1.7,.889,0.7,3.4,4.1,1.7,0.6,0.0,2.1,2.1,12.9,
2015-16,24,PHO,NBA,SG,22,2,287,5.3,11.3,.467,1.6,4.0,.406,3.6,7.3,.500,.539,1.5,1.9,.800,0.5,3.9,4.4,3.3,0.6,0.1,2.0,1.4,13.7,
2016-17,25,PHO,NBA,SG,4,0,13,5.5,13.8,.400,2.8,5.5,.500,2.8,8.3,.333,.500,5.5,5.5,1.000,0.0,2.8,2.8,2.8,0.0,0.0,0.0,0.0,19.4,
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,27,2TM,NBA,SG,26,0,333,4.5,11.4,.400,2.4,6.3,.379,2.2,5.1,.426,.505,1.6,1.9,.833,0.6,3.4,4.0,2.4,0.0,0.2,1.0,1.1,13.1,
2018-19,27,WAS,NBA,SG,4,0,14,5.1,5.1,1.000,5.1,5.1,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,2.6,2.6,2.6,0.0,0.0,0.0,0.0,15.4,
2018-19,27,NYK,NBA,SG,22,0,319,4.5,11.6,.388,2.3,6.3,.357,2.3,5.3,.426,.485,1.7,2.0,.833,0.7,3.4,4.1,2.4,0.0,0.2,1.0,1.1,13.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,171,8,2183,5.1,11.6,.441,1.9,5.3,.367,3.2,6.4,.503,.524,1.9,2.3,.847,0.6,3.5,4.1,2.3,0.5,0.2,1.6,1.6,14.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),,98,5,1357,5.2,11.5,.451,2.1,5.5,.375,3.1,6.0,.520,.540,2.1,2.5,.849,0.6,3.5,4.1,2.1,0.6,0.3,1.6,1.7,14.6,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,26,2,300,5.3,11.4,.463,1.7,4.1,.412,3.6,7.3,.492,.537,1.7,2.0,.824,0.5,3.8,4.3,3.2,0.6,0.1,1.9,1.3,13.9,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,22,0,319,4.5,11.6,.388,2.3,6.3,.357,2.3,5.3,.426,.485,1.7,2.0,.833,0.7,3.4,4.1,2.4,0.0,0.2,1.0,1.1,13.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,21,1,193,5.4,13.1,.414,0.6,3.5,.158,4.8,9.5,.510,.436,1.5,1.7,.889,0.7,3.4,4.1,1.7,0.6,0.0,2.1,2.1,12.9,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,4,0,14,5.1,5.1,1.000,5.1,5.1,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,2.6,2.6,2.6,0.0,0.0,0.0,0.0,15.4,
