Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,24,MIN,NBA,C,60.0,15.0,818.0,113.0,227.0,0.498,1.0,1.0,1.0,112.0,226.0,0.496,0.5,59.0,93.0,0.634,103.0,197.0,300.0,39.0,30.0,50.0,54.0,108.0,286.0,0.0,ROY-6
2014-15,25,MIN,NBA,C,73.0,49.0,2193.0,259.0,512.0,0.506,1.0,6.0,0.167,258.0,506.0,0.51,0.507,191.0,244.0,0.783,223.0,386.0,609.0,146.0,71.0,126.0,126.0,188.0,710.0,0.0,
2015-16,26,MIN,NBA,C,82.0,39.0,2220.0,308.0,579.0,0.532,6.0,20.0,0.3,302.0,559.0,0.54,0.537,205.0,248.0,0.827,157.0,428.0,585.0,143.0,94.0,96.0,140.0,219.0,827.0,0.0,
2016-17,27,MIN,NBA,PF,82.0,82.0,2653.0,332.0,661.0,0.502,16.0,43.0,0.372,316.0,618.0,0.511,0.514,136.0,167.0,0.814,188.0,459.0,647.0,158.0,88.0,95.0,107.0,254.0,816.0,0.0,
2017-18,28,MIN,NBA,C,79.0,0.0,1333.0,186.0,388.0,0.479,19.0,61.0,0.311,167.0,327.0,0.511,0.504,79.0,102.0,0.775,106.0,254.0,360.0,71.0,45.0,39.0,59.0,147.0,470.0,0.0,
2018-19,29,MIN,NBA,C,76.0,2.0,1031.0,189.0,377.0,0.501,19.0,56.0,0.339,170.0,321.0,0.53,0.527,88.0,106.0,0.83,81.0,230.0,311.0,72.0,48.0,41.0,57.0,134.0,485.0,0.0,
2019-20,30,2TM,NBA,C,63.0,17.0,1096.0,166.0,364.0,0.456,54.0,152.0,0.355,112.0,212.0,0.528,0.53,78.0,101.0,0.772,91.0,263.0,354.0,73.0,51.0,59.0,60.0,124.0,464.0,0.0,
2019-20,30,MIN,NBA,C,46.0,17.0,778.0,124.0,277.0,0.448,46.0,120.0,0.383,78.0,157.0,0.497,0.531,47.0,59.0,0.797,73.0,183.0,256.0,58.0,37.0,42.0,44.0,89.0,341.0,0.0,
2019-20,30,MEM,NBA,C,17.0,0.0,318.0,42.0,87.0,0.483,8.0,32.0,0.25,34.0,55.0,0.618,0.529,31.0,42.0,0.738,18.0,80.0,98.0,15.0,14.0,17.0,16.0,35.0,123.0,0.0,
2020-21,31,2TM,NBA,C,38.0,1.0,552.0,85.0,163.0,0.521,30.0,70.0,0.429,55.0,93.0,0.591,0.613,58.0,67.0,0.866,40.0,100.0,140.0,48.0,26.0,16.0,32.0,56.0,258.0,0.0,
2020-21,31,MEM,NBA,C,22.0,1.0,371.0,56.0,108.0,0.519,23.0,48.0,0.479,33.0,60.0,0.55,0.625,38.0,43.0,0.884,28.0,70.0,98.0,29.0,17.0,14.0,22.0,38.0,173.0,0.0,
2020-21,31,SAS,NBA,C,16.0,0.0,181.0,29.0,55.0,0.527,7.0,22.0,0.318,22.0,33.0,0.667,0.591,20.0,24.0,0.833,12.0,30.0,42.0,19.0,9.0,2.0,10.0,18.0,85.0,0.0,
2021-22,32,ATL,NBA,C,44.0,3.0,371.0,53.0,112.0,0.473,29.0,68.0,0.426,24.0,44.0,0.545,0.603,19.0,26.0,0.731,32.0,89.0,121.0,34.0,11.0,13.0,20.0,52.0,154.0,0.0,
2022-23,33,SAS,NBA,C,31.0,1.0,358.0,45.0,117.0,0.385,21.0,75.0,0.28,24.0,42.0,0.571,0.474,10.0,13.0,0.769,27.0,80.0,107.0,53.0,4.0,14.0,32.0,57.0,121.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,628.0,209.0,12625.0,1736.0,3500.0,0.496,196.0,552.0,0.355,1540.0,2948.0,0.522,0.524,923.0,1167.0,0.791,1048.0,2486.0,3534.0,837.0,468.0,549.0,687.0,1339.0,4591.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,27.0,1648.0,227.0,457.0,0.496,26.0,72.0,0.355,201.0,385.0,0.522,0.524,121.0,152.0,0.791,137.0,325.0,461.0,109.0,61.0,72.0,90.0,175.0,599.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (7 Yrs),MIN (7 Yrs),MIN (7 Yrs),MIN (7 Yrs),,498.0,204.0,11026.0,1511.0,3021.0,0.5,108.0,307.0,0.352,1403.0,2714.0,0.517,0.518,805.0,1019.0,0.79,931.0,2137.0,3068.0,687.0,413.0,489.0,587.0,1139.0,3935.0,0.0,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,47.0,1.0,539.0,74.0,172.0,0.43,28.0,97.0,0.289,46.0,75.0,0.613,0.512,30.0,37.0,0.811,39.0,110.0,149.0,72.0,13.0,16.0,42.0,75.0,206.0,0.0,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,39.0,1.0,689.0,98.0,195.0,0.503,31.0,80.0,0.388,67.0,115.0,0.583,0.582,69.0,85.0,0.812,46.0,150.0,196.0,44.0,31.0,31.0,38.0,73.0,296.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,44.0,3.0,371.0,53.0,112.0,0.473,29.0,68.0,0.426,24.0,44.0,0.545,0.603,19.0,26.0,0.731,32.0,89.0,121.0,34.0,11.0,13.0,20.0,52.0,154.0,0.0,
