"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2013-14,22.0,POR,NBA,8:14,1.0,4.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.7
2014-15,23.0,POR,NBA,38:30,12.0,20.0,7.0,11.0,6.0,10.0,8.0,9.0,1.0,5.0,5.0,2.0,2.0,1.0,3.0,4.0,33.0,21.1
2015-16,24.0,POR,NBA,47:49,11.0,23.0,4.0,9.0,9.0,18.0,7.0,8.0,3.0,5.0,8.0,5.0,3.0,2.0,5.0,5.0,27.0,21.2
2016-17,25.0,POR,NBA,40:48,16.0,28.0,6.0,9.0,12.0,22.0,6.0,6.0,3.0,5.0,8.0,2.0,2.0,1.0,5.0,4.0,41.0,27.8
2017-18,26.0,POR,NBA,45:12,15.0,22.0,4.0,10.0,13.0,19.0,6.0,7.0,0.0,3.0,3.0,6.0,3.0,1.0,4.0,5.0,38.0,26.9
2018-19,27.0,POR,NBA,60:01,17.0,39.0,5.0,11.0,16.0,28.0,7.0,12.0,2.0,8.0,9.0,7.0,4.0,2.0,4.0,4.0,41.0,28.6
2019-20,28.0,POR,NBA,46:04,13.0,25.0,4.0,12.0,10.0,18.0,7.0,8.0,3.0,8.0,8.0,7.0,2.0,1.0,6.0,3.0,36.0,25.4
2020-21,29.0,POR,NBA,50:52,9.0,22.0,3.0,10.0,7.0,14.0,3.0,4.0,4.0,6.0,9.0,8.0,1.0,2.0,5.0,6.0,22.0,15.3
2021-22,30.0,NOP,NBA,43:09,11.0,25.0,6.0,11.0,7.0,17.0,6.0,8.0,4.0,7.0,9.0,9.0,2.0,2.0,3.0,5.0,30.0,22.0
2023-24,32.0,NOP,NBA,39:21,9.0,22.0,2.0,9.0,7.0,14.0,2.0,2.0,1.0,5.0,6.0,7.0,2.0,1.0,6.0,5.0,20.0,13.1
Career,,,,60:01,17.0,39.0,7.0,12.0,16.0,28.0,8.0,12.0,4.0,8.0,9.0,9.0,4.0,2.0,6.0,6.0,41.0,28.6
,,,,,,,,,,,,,,,,,,,,,,
8 Seasons,,POR,NBA,60:01,17.0,39.0,7.0,12.0,16.0,28.0,8.0,12.0,4.0,8.0,9.0,8.0,4.0,2.0,6.0,6.0,41.0,28.6
2 Seasons,,NOP,NBA,43:09,11.0,25.0,6.0,11.0,7.0,17.0,6.0,8.0,4.0,7.0,9.0,9.0,2.0,2.0,6.0,5.0,30.0,22.0
