"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2013-14,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,23,UTA,NBA,PG,81,53,1499,.431,.453,.395,.507,.743,.530,.167,.388,95,92,112,101,98,98,61,136,3.9,-9.8,
2016-17,24,UTA,NBA,PG,40,0,346,.451,.517,.323,.505,.889,.527,.099,.341,99,103,90,98,115,95,37,108,-1.5,-4.9,
2017-18,25,UTA,NBA,PG,41,0,498,.457,.481,.404,.520,.743,.550,.232,.311,99,94,112,100,97,99,92,92,-0.4,-2.1,
2018-19,26,UTA,NBA,PG,37,1,474,.460,.535,.333,.522,.848,.558,.205,.373,100,103,94,100,111,100,79,104,-0.8,-0.4,
2019-20,27,PHI,NBA,PG,54,3,668,.455,.500,.386,.532,.830,.567,.212,.396,99,95,108,101,107,100,81,103,1.2,0.9,
2020-21,28,WAS,NBA,PG,64,22,1403,.468,.512,.390,.539,.882,.575,.190,.367,100,97,106,100,113,101,77,94,1.1,3.1,
2021-22,29,WAS,NBA,PG,70,19,1372,.463,.526,.292,.502,.769,.538,.245,.272,100,99,82,94,99,95,99,68,-26.0,-27.0,
2022-23,30,CLE,NBA,PG,48,1,505,.518,.662,.286,.573,.912,.628,.309,.382,109,121,79,105,117,108,116,99,6.0,11.7,
2023-24,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,435,99,6765,.458,.510,.361,.521,.812,.555,.206,.350,99,98,101,99,105,99,80,99,-16.5,-28.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,199,54,2817,.443,.482,.377,.512,.776,.539,.179,.365,97,96,106,100,102,98,67,119,1.2,-17.2,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,134,41,2775,.465,.520,.349,.521,.819,.557,.217,.320,100,98,96,97,105,98,88,81,-24.9,-23.9,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,54,3,668,.455,.500,.386,.532,.830,.567,.212,.396,99,95,108,101,107,100,81,103,1.2,0.9,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,48,1,505,.518,.662,.286,.573,.912,.628,.309,.382,109,121,79,105,117,108,116,99,6.0,11.7,
