"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2013-14,21,ORL,NBA,PG,80,44,2487,.419,12.4,.759,.388,.092,.077,.202,.241,.448,.554,.244,.333,.381,.327,.236,.730,.042,38,.102,.304,4,0,ROY-2
2014-15,22,ORL,NBA,SG,72,71,2573,.436,10.8,.772,.424,.104,.080,.164,.228,.464,.567,.265,.402,.354,.339,.316,.726,.046,45,.214,.340,1,0,
2015-16,23,ORL,NBA,SG,72,52,2379,.438,13.5,.709,.298,.082,.100,.230,.291,.475,.574,.313,.402,.435,.348,.388,.806,.042,33,.262,.405,4,0,
2016-17,24,OKC,NBA,SG,67,67,2222,.442,14.5,.622,.265,.092,.118,.144,.378,.491,.607,.349,.418,.440,.361,.428,.882,.041,36,.307,.435,2,0,
2017-18,25,IND,NBA,SG,75,75,2552,.477,14.5,.677,.267,.082,.095,.231,.323,.528,.690,.364,.438,.439,.371,.280,.553,.052,61,.099,.581,2,0,"MVP-13,DPOY-15,MIP-1,AS,NBA3,DEF1"
2018-19,26,IND,NBA,SG,36,36,1147,.423,16.2,.633,.226,.082,.087,.238,.367,.470,.602,.188,.431,.457,.343,.291,.676,.036,16,.083,.278,1,0,AS
2019-20,27,IND,NBA,SG,19,16,528,.394,16.6,.577,.240,.073,.130,.134,.423,.451,.441,.556,.438,.424,.317,.422,.455,.016,3,.096,.200,0,0,
2020-21,28,3TM,NBA,SG,33,33,1080,.408,14.9,.585,.247,.156,.085,.097,.415,.466,.655,.356,.306,.304,.326,.357,.654,.030,14,.151,.306,0,0,
2020-21,28,IND,NBA,SG,9,9,300,.421,15.2,.546,.316,.105,.046,.079,.454,.470,.542,.500,.286,.250,.362,.487,.720,.026,4,.087,.333,0,0,
2020-21,28,HOU,NBA,SG,20,20,669,.407,15.1,.598,.220,.173,.100,.105,.402,.465,.690,.318,.342,.350,.320,.274,.592,.026,7,.157,.292,0,0,
2020-21,28,MIA,NBA,SG,4,4,111,.372,14.5,.605,.233,.186,.093,.093,.395,.462,.900,.375,.000,.000,.235,.667,1.000,.070,3,.353,.333,0,0,
2021-22,29,MIA,NBA,SG,8,1,173,.479,16.9,.507,.247,.096,.082,.082,.493,.541,.667,.286,.667,.333,.417,.250,.467,.027,2,.139,.800,1,0,
2022-23,30,MIA,NBA,SG,42,2,1106,.397,16.7,.474,.144,.156,.107,.055,.526,.471,.534,.492,.326,.545,.330,.278,.586,.010,3,.179,.158,1,0,
2023-24,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,504,397,16247,.436,14.7,.672,.297,.098,.094,.181,.328,.480,.596,.328,.399,.415,.347,.323,.687,.040,251,.174,.380,16,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,65,2643,.436,14.7,.672,.297,.098,.094,.181,.328,.480,.596,.328,.399,.415,.347,.323,.687,.040,41,.174,.380,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),,139,136,4527,.451,15.6,.646,.257,.082,.094,.213,.354,.503,.634,.349,.431,.438,.356,.305,.587,.043,84,.094,.442,3,0,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,224,167,7439,.431,12.2,.747,.372,.093,.086,.197,.253,.462,.565,.272,.383,.393,.339,.314,.758,.043,116,.198,.367,9,0,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,54,7,1390,.407,16.0,.489,.166,.150,.102,.062,.511,.480,.605,.462,.340,.438,.336,.311,.584,.017,8,.185,.245,2,0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,67,67,2222,.442,14.5,.622,.265,.092,.118,.144,.378,.491,.607,.349,.418,.440,.361,.428,.882,.041,36,.307,.435,2,0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,20,20,669,.407,15.1,.598,.220,.173,.100,.105,.402,.465,.690,.318,.342,.350,.320,.274,.592,.026,7,.157,.292,0,0,
