"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2013-14,21,CHA,NBA,C,82.0,3.0,1416.0,0.0,0.0,0.0,55.0,45.0,-2.6,-3.8,39.0,15.0,86.0,17.0,95.0,9.0,208.0,17.0,43.0,
2014-15,22,CHO,NBA,C,62.0,45.0,1487.0,0.0,0.0,0.0,60.0,41.0,1.4,7.7,31.0,9.0,57.0,14.0,72.0,10.0,216.0,12.0,43.0,
2015-16,23,CHO,NBA,C,73.0,60.0,1774.0,0.0,0.0,0.0,27.0,73.0,4.6,3.1,13.0,21.0,98.0,21.0,105.0,9.0,171.0,19.0,60.0,
2016-17,24,CHO,NBA,C,62.0,58.0,1725.0,0.0,0.0,0.0,27.0,73.0,6.2,10.3,19.0,12.0,98.0,29.0,85.0,5.0,238.0,21.0,56.0,
2017-18,25,CHO,NBA,C,33.0,0.0,627.0,0.0,0.0,0.0,0.0,100.0,1.5,1.6,13.0,6.0,31.0,9.0,34.0,5.0,75.0,7.0,22.0,
2018-19,26,CHO,NBA,C,49.0,47.0,1243.0,0.0,0.0,0.0,2.0,99.0,1.5,4.1,22.0,9.0,79.0,21.0,66.0,8.0,244.0,13.0,42.0,
2019-20,27,CHO,NBA,C,58.0,39.0,1341.0,0.0,0.0,0.0,0.0,100.0,-9.4,-3.9,24.0,20.0,62.0,22.0,90.0,8.0,211.0,26.0,44.0,
2020-21,28,CHO,NBA,C,48.0,21.0,1005.0,0.0,0.0,0.0,0.0,100.0,1.0,4.5,22.0,14.0,57.0,13.0,59.0,13.0,212.0,14.0,30.0,
2021-22,29,POR,NBA,C,27.0,0.0,355.0,0.0,0.0,0.0,0.0,100.0,-2.8,6.8,3.0,3.0,18.0,8.0,15.0,2.0,56.0,1.0,14.0,
2022-23,30,MIA,NBA,C,15.0,2.0,217.0,0.0,0.0,0.0,0.0,100.0,-11.9,-12.4,6.0,0.0,19.0,6.0,14.0,0.0,26.0,3.0,3.0,
2023-24,31,NOP,NBA,C,43.0,0.0,320.0,0.0,0.0,0.0,0.0,100.0,7.3,2.9,6.0,2.0,24.0,6.0,14.0,4.0,92.0,3.0,10.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,552.0,275.0,11510.0,0.0,0.0,0.0,23.0,77.0,0.6,3.1,198.0,111.0,629.0,166.0,649.0,73.0,1749.0,136.0,367.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,41.0,1710.0,0.0,0.0,0.0,23.0,77.0,0.6,3.1,29.0,16.0,93.0,25.0,96.0,11.0,260.0,20.0,55.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CHO (8 Yrs),CHO (8 Yrs),CHO (8 Yrs),CHO (8 Yrs),,467.0,273.0,10618.0,0.0,0.0,0.0,25.0,75.0,0.8,3.3,183.0,106.0,568.0,146.0,606.0,67.0,1575.0,129.0,340.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,43.0,0.0,320.0,0.0,0.0,0.0,0.0,100.0,7.3,2.9,6.0,2.0,24.0,6.0,14.0,4.0,92.0,3.0,10.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,27.0,0.0,355.0,0.0,0.0,0.0,0.0,100.0,-2.8,6.8,3.0,3.0,18.0,8.0,15.0,2.0,56.0,1.0,14.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,15.0,2.0,217.0,0.0,0.0,0.0,0.0,100.0,-11.9,-12.4,6.0,0.0,19.0,6.0,14.0,0.0,26.0,3.0,3.0,
