"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2018-19,23.0,ORL,NBA,37:55,10.0,17.0,3.0,6.0,8.0,11.0,3.0,7.0,3.0,7.0,10.0,7.0,3.0,1.0,4.0,4.0,25.0,21.5
2020-21,25.0,DEN,NBA,38:40,8.0,16.0,2.0,4.0,8.0,12.0,4.0,6.0,4.0,6.0,10.0,4.0,3.0,1.0,4.0,4.0,18.0,16.8
2021-22,26.0,DEN,NBA,39:42,7.0,13.0,1.0,4.0,6.0,12.0,10.0,13.0,6.0,6.0,12.0,4.0,1.0,2.0,3.0,5.0,21.0,18.3
2022-23,27.0,DEN,NBA,42:43,11.0,15.0,3.0,5.0,8.0,11.0,6.0,8.0,6.0,7.0,10.0,6.0,2.0,2.0,3.0,6.0,27.0,24.6
2023-24,28.0,DEN,NBA,46:22,12.0,18.0,3.0,5.0,12.0,17.0,5.0,6.0,6.0,10.0,15.0,7.0,2.0,3.0,3.0,5.0,29.0,28.9
2024-25,29.0,DEN,NBA,46:21,9.0,16.0,4.0,7.0,9.0,13.0,8.0,10.0,7.0,9.0,16.0,7.0,2.0,1.0,4.0,5.0,25.0,22.2
Career,,,,46:22,12.0,18.0,4.0,7.0,12.0,17.0,10.0,13.0,7.0,10.0,16.0,7.0,3.0,3.0,4.0,6.0,29.0,28.9
,,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,DEN,NBA,46:22,12.0,18.0,4.0,7.0,12.0,17.0,10.0,13.0,7.0,10.0,16.0,7.0,3.0,3.0,4.0,6.0,29.0,28.9
1 Season,,ORL,NBA,37:55,10.0,17.0,3.0,6.0,8.0,11.0,3.0,7.0,3.0,7.0,10.0,7.0,3.0,1.0,4.0,4.0,25.0,21.5
