Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,20,PHI,NBA,SF,65.0,11.0,1377.0,124.0,352.0,0.352,49.0,156.0,0.314,75.0,196.0,0.383,0.422,114.0,193.0,0.591,49.0,149.0,198.0,79.0,40.0,68.0,85.0,144.0,411.0,0.0,
2015-16,21,PHI,NBA,PF,77.0,52.0,2066.0,251.0,599.0,0.419,35.0,146.0,0.24,216.0,453.0,0.477,0.448,212.0,322.0,0.658,99.0,262.0,361.0,135.0,54.0,127.0,110.0,215.0,749.0,0.0,
2016-17,22,2TM,NBA,PF,80.0,4.0,1531.0,152.0,328.0,0.463,43.0,116.0,0.371,109.0,212.0,0.514,0.529,90.0,147.0,0.612,38.0,167.0,205.0,46.0,33.0,79.0,44.0,149.0,437.0,0.0,
2016-17,22,PHI,NBA,PF,2.0,0.0,41.0,6.0,17.0,0.353,0.0,2.0,0.0,6.0,15.0,0.4,0.353,4.0,8.0,0.5,0.0,6.0,6.0,0.0,0.0,4.0,3.0,5.0,16.0,0.0,
2016-17,22,OKC,NBA,PF,78.0,4.0,1490.0,146.0,311.0,0.469,43.0,114.0,0.377,103.0,197.0,0.523,0.539,86.0,139.0,0.619,38.0,161.0,199.0,46.0,33.0,75.0,41.0,144.0,421.0,0.0,
2017-18,23,OKC,NBA,PF,81.0,1.0,1647.0,244.0,456.0,0.535,32.0,110.0,0.291,212.0,346.0,0.613,0.57,162.0,240.0,0.675,86.0,233.0,319.0,57.0,31.0,77.0,54.0,155.0,682.0,0.0,
2018-19,24,OKC,NBA,PF,80.0,77.0,2612.0,409.0,823.0,0.497,115.0,293.0,0.392,294.0,530.0,0.555,0.567,157.0,221.0,0.71,96.0,321.0,417.0,79.0,61.0,100.0,67.0,214.0,1090.0,0.0,
2019-20,25,DEN,NBA,PF,71.0,24.0,1892.0,303.0,634.0,0.478,98.0,252.0,0.389,205.0,382.0,0.537,0.555,147.0,196.0,0.75,58.0,190.0,248.0,88.0,50.0,57.0,63.0,154.0,851.0,0.0,
2020-21,26,DET,NBA,SF,54.0,54.0,1829.0,400.0,932.0,0.429,115.0,329.0,0.35,285.0,603.0,0.473,0.491,290.0,343.0,0.845,35.0,215.0,250.0,152.0,35.0,58.0,109.0,125.0,1205.0,0.0,
2021-22,27,DET,NBA,PF,47.0,47.0,1500.0,298.0,699.0,0.426,91.0,254.0,0.358,207.0,445.0,0.465,0.491,217.0,259.0,0.838,28.0,163.0,191.0,111.0,44.0,49.0,85.0,107.0,904.0,0.0,
2022-23,28,POR,NBA,PF,63.0,63.0,2246.0,434.0,913.0,0.475,144.0,359.0,0.401,290.0,554.0,0.523,0.554,278.0,342.0,0.813,53.0,230.0,283.0,150.0,51.0,53.0,116.0,152.0,1290.0,0.0,
2023-24,29,POR,NBA,PF,54.0,54.0,1830.0,383.0,850.0,0.451,111.0,276.0,0.402,272.0,574.0,0.474,0.516,255.0,312.0,0.817,37.0,154.0,191.0,152.0,45.0,34.0,116.0,117.0,1132.0,0.0,
2024-25,30,POR,NBA,PF,47.0,47.0,1524.0,214.0,574.0,0.373,108.0,296.0,0.365,106.0,278.0,0.381,0.467,141.0,166.0,0.849,26.0,137.0,163.0,101.0,41.0,46.0,65.0,109.0,677.0,0.0,
2025-26,31,POR,NBA,PF,14.0,2.0,399.0,80.0,169.0,0.473,32.0,76.0,0.421,48.0,93.0,0.516,0.568,79.0,94.0,0.84,15.0,33.0,48.0,34.0,12.0,5.0,24.0,47.0,271.0,0.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,733.0,436.0,20453.0,3292.0,7329.0,0.449,973.0,2663.0,0.365,2319.0,4666.0,0.497,0.516,2142.0,2835.0,0.756,620.0,2254.0,2874.0,1184.0,497.0,753.0,938.0,1688.0,9699.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,49.0,2288.0,368.0,820.0,0.449,109.0,298.0,0.365,259.0,522.0,0.497,0.516,240.0,317.0,0.756,69.0,252.0,322.0,132.0,56.0,84.0,105.0,189.0,1085.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),,178.0,166.0,5999.0,1111.0,2506.0,0.443,395.0,1007.0,0.392,716.0,1499.0,0.478,0.522,753.0,914.0,0.824,131.0,554.0,685.0,437.0,149.0,138.0,321.0,425.0,3370.0,0.0,
