"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2016-17,22,POR,NBA,C,1.0,1.0,17.0,0.0,0.0,0.0,0.0,100.0,26.0,48.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,
2017-18,23,POR,NBA,C,4.0,4.0,94.0,0.0,0.0,0.0,0.0,100.0,-13.1,-7.4,0.0,2.0,6.0,1.0,6.0,1.0,10.0,1.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,25,POR,NBA,C,5.0,5.0,161.0,0.0,0.0,0.0,34.0,66.0,-18.4,-21.0,8.0,3.0,13.0,2.0,9.0,0.0,40.0,3.0,1.0,
2020-21,26,POR,NBA,C,6.0,6.0,173.0,0.0,0.0,0.0,0.0,100.0,12.0,33.7,4.0,3.0,9.0,6.0,14.0,2.0,37.0,5.0,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,29,PHO,NBA,C,4.0,4.0,104.0,0.0,0.0,0.0,0.0,100.0,-17.6,-2.9,5.0,1.0,10.0,0.0,5.0,0.0,24.0,1.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,20.0,20.0,549.0,0.0,0.0,0.0,10.0,90.0,-6.4,4.1,19.0,10.0,39.0,9.0,34.0,3.0,120.0,10.0,11.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2251.0,0.0,0.0,0.0,10.0,90.0,-6.4,4.1,78.0,41.0,160.0,37.0,139.0,12.0,492.0,41.0,45.0,
,,,,,,,,,,,,,,,,,,,,,,,,
POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),,16.0,16.0,445.0,0.0,0.0,0.0,12.0,88.0,-3.8,5.8,14.0,9.0,29.0,9.0,29.0,3.0,96.0,9.0,11.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,4.0,104.0,0.0,0.0,0.0,0.0,100.0,-17.6,-2.9,5.0,1.0,10.0,0.0,5.0,0.0,24.0,1.0,0.0,
