Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2014-15,20,BOS,NBA,PG,4,3,90,12.8,0.548,0.448,0.517,5.9,7.5,6.7,9.8,0.6,1.1,10.1,19.7,0.1,0.0,0.1,0.047,-0.1,0.2,0.1,0.0,
2015-16,21,BOS,NBA,PG,6,1,193,12.1,0.52,0.533,0.35,4.1,11.0,7.3,15.8,2.5,2.3,17.8,18.8,0.0,0.4,0.3,0.083,-0.4,2.4,2.0,0.2,
2016-17,22,BOS,NBA,SG,18,3,538,11.8,0.497,0.545,0.373,4.8,14.0,9.3,22.3,2.6,2.6,19.6,16.4,0.0,0.5,0.5,0.046,-1.3,1.3,0.0,0.3,
2017-18,23,BOS,NBA,SG,15,4,449,11.7,0.447,0.476,0.343,3.5,11.0,7.2,27.7,3.0,2.0,17.9,20.6,-0.3,0.7,0.4,0.038,-2.7,2.3,-0.4,0.2,
2018-19,24,BOS,NBA,SG,2,0,32,3.2,0.257,1.0,0.545,13.4,0.0,6.4,17.6,4.5,0.0,18.0,23.0,-0.1,0.1,-0.1,-0.13,-5.2,0.6,-4.6,0.0,
2019-20,25,BOS,NBA,SG,17,16,648,11.6,0.552,0.621,0.283,1.8,13.2,7.7,18.0,1.6,1.2,16.8,18.4,0.2,1.0,1.2,0.088,-0.8,1.3,0.4,0.4,
2020-21,26,BOS,NBA,PG,5,5,183,14.8,0.591,0.652,0.318,2.4,12.0,7.0,25.6,1.4,0.5,15.7,20.7,0.3,-0.2,0.1,0.027,1.3,-0.6,0.7,0.1,
2021-22,27,BOS,NBA,PG,21,21,760,13.1,0.529,0.491,0.222,3.1,10.7,7.0,26.3,1.7,0.6,14.5,21.2,0.5,1.0,1.5,0.094,-0.8,1.1,0.3,0.4,
2022-23,28,BOS,NBA,PG,20,20,679,15.4,0.592,0.547,0.291,3.6,9.7,6.7,21.3,1.9,0.7,15.2,19.8,1.0,0.6,1.6,0.112,0.0,0.7,0.8,0.5,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,108,73,3572,12.8,0.532,0.544,0.302,3.5,11.4,7.4,22.3,2.0,1.3,16.3,19.4,1.6,4.0,5.6,0.075,-0.8,1.2,0.4,2.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,55,2712,12.8,0.532,0.544,0.302,3.5,11.4,7.4,22.3,2.0,1.3,16.3,19.4,1.2,3.0,4.2,0.075,-0.8,1.2,0.4,1.6,
