"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Kelly Oubre Jr.,,3.8,3.7,3.3,3.0,2.6,2.2,2.2,2.0,1.7,0.4,,,,,
Keith Erickson,93.8,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,,,
Fred Roberts,92.2,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0,,
Vladimir RadmanoviÄ,91.3,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0.0,,,
Othella Harrington,91.1,3.8,3.6,3.0,3.0,2.5,2.2,1.7,1.4,1.1,0.8,0.0,0.0,,,
Dante Cunningham,90.4,3.5,3.4,3.0,2.9,2.4,2.1,2.0,1.9,1.9,1.6,,,,,
Tom McMillen,89.7,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2.0,1.2,0.8,,,,
Jonas Jerebko,88.5,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2.0,1.4,,,,,,
Dwight Jones,88.0,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,,,,,
J.R. Reid,87.6,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,,,,
Scott Williams,87.2,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,0.1,-0.1
