Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2015-16,21,BOS,NBA,PG,39.0,0.0,311.0,5.0,0.326,0.255,0.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,-0.6,0.3,-0.3,-0.047,-4.7,-1.4,-6.1,-0.3,
2016-17,22,BOS,NBA,PG,74.0,0.0,1263.0,10.9,0.466,0.436,0.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1,0.0,1.4,1.4,0.054,-1.6,0.1,-1.4,0.2,
2017-18,23,BOS,NBA,PG,80.0,16.0,2068.0,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1,6MOY-10
2018-19,24,BOS,NBA,PG,79.0,14.0,1791.0,12.9,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.6,0.9,2.3,3.2,0.086,-0.7,0.5,-0.2,0.8,
2019-20,25,CHO,NBA,PG,63.0,63.0,2164.0,14.8,0.553,0.45,0.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3.0,0.066,0.8,-1.2,-0.4,0.8,
2020-21,26,CHO,NBA,SG,69.0,69.0,2383.0,17.1,0.575,0.504,0.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,0.105,2.2,-0.5,1.6,2.2,
2021-22,27,CHO,NBA,SG,73.0,73.0,2458.0,17.6,0.566,0.508,0.151,2.4,11.3,6.8,19.7,1.8,1.0,7.2,23.2,4.3,1.6,5.9,0.115,2.4,-0.7,1.7,2.3,
2022-23,28,CHO,NBA,SG,63.0,63.0,2221.0,14.7,0.517,0.425,0.185,2.4,10.2,6.2,22.7,1.6,0.6,9.4,26.9,0.1,1.6,1.7,0.037,0.6,-1.1,-0.6,0.8,
2023-24,29,2TM,NBA,SG,61.0,60.0,2040.0,17.3,0.555,0.411,0.198,1.9,12.0,6.8,27.5,1.5,1.0,8.9,25.9,2.3,1.6,3.9,0.091,2.2,-0.7,1.5,1.8,
2023-24,29,CHO,NBA,SG,30.0,30.0,1065.0,19.2,0.574,0.423,0.235,1.7,10.9,6.2,31.3,1.5,1.1,9.7,27.8,1.6,0.4,2.0,0.09,3.8,-1.5,2.3,1.1,
2023-24,29,MIA,NBA,PG,31.0,30.0,975.0,15.1,0.531,0.396,0.154,2.1,13.1,7.6,23.4,1.6,0.9,7.9,23.8,0.6,1.2,1.9,0.092,0.4,0.3,0.7,0.7,
2024-25,30,MIA,NBA,PG,64.0,23.0,1658.0,10.5,0.497,0.485,0.17,3.0,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1.0,0.029,-2.6,-1.0,-3.7,-0.7,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,665.0,381.0,18357.0,14.7,0.534,0.467,0.175,2.6,13.0,7.7,19.8,1.6,0.8,9.4,22.6,13.8,16.8,30.6,0.08,0.6,-0.4,0.2,10.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,47.0,2264.0,14.7,0.534,0.467,0.175,2.6,13.0,7.7,19.8,1.6,0.8,9.4,22.6,1.7,2.1,3.8,0.08,0.6,-0.4,0.2,1.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHO (5 Yrs),CHO (5 Yrs),CHO (5 Yrs),CHO (5 Yrs),,298.0,298.0,10291.0,16.4,0.555,0.467,0.184,2.3,11.2,6.7,21.8,1.6,0.8,9.5,24.9,11.2,6.7,17.9,0.083,1.8,-1.0,0.8,7.3,
BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),,272.0,30.0,5433.0,12.8,0.492,0.477,0.16,3.2,16.2,9.7,17.0,1.8,0.8,9.2,18.9,2.5,7.4,9.9,0.088,-0.6,0.6,0.0,2.8,
MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,95.0,53.0,2633.0,12.2,0.511,0.448,0.163,2.6,12.9,7.8,17.9,1.3,0.8,9.3,21.6,0.1,2.7,2.9,0.052,-1.5,-0.6,-2.1,0.0,
